Laptop_Price,Laptop_Brand,Laptop_Colour,Laptop_Memory_GB,Laptop_Storage_GB,Laptop_Display_Size_in,Laptop_name,Laptop_Graphics,No_Of_Reviews,Rating_5,Processor_Company_Name,Storage_Type,Operating_System,Processor_Model
$529.99,HP,Silver,16,512,15.6,No Model,No Graphics,1939,4.6,Intel,SSD,Windows11, Core i7 - 15-DY5073DX
$749.99,Dell,Blue,16,1024,16,Inspiron,No Graphics,211,4.7,Intel,SSD,Windows11, Core Ultra - i7640-7366BLU-PUS
$329.99,Lenovo,Grey,8,256,14,Flex,No Graphics,181,4.5,Intel,SSD,Windows11, Core i3 - 82R700L4US
$649.99,Lenovo,Grey,16,1024,16,Yoga,No Graphics,72,4.7,AMD Ryzen,SSD,Windows11, 7 8840HS - 83DM0003US
$629.99,Dell,Black,8,512,14,Inspiron,No Graphics,604,4.5,Intel,SSD,Windows11, Core i5 - i3520-5124BLK-PUS
$399.99,HP,Silver,8,512,15.6,No Model,No Graphics,232,4.6,AMD Ryzen,SSD,Windows11, 5 - 15-fc0025dx
$119.99,ASUS,Black,4,64eMMC,14,No Model,No Graphics,193,4.3,Intel,eMMC,Windows11, Celeron N4500 - E410KA-CL464
"$1,349.99",HP,Silver,32,2048,16,Envy,No Graphics,186,4.6,Intel,SSD,Windows11, Core Ultra - 16-ac0033dx
$699.99,Dell,Blue,16,1024,14,Inspiron,No Graphics,207,4.5,Intel,SDD,Windows11, Core 7 - i7440-7304BLU-PUS
$139.99,HP,Silver,4,128eMMC,14,No Model,No Graphics,468,4.2,Intel,eMMC,Windows11, Celeron  - 14-dq0760dx
$229.99,ASUS,Blue,8,128,14,Vivobook,No Graphics,313,4.4,Intel,SSD,Windows11, Core i3 - X1404ZA-I38128
"$1,249.99",ASUS,White,16,1024,14,ROG Zephyrus G14,NVIDIA GeForce RTX 4060,353,4.5,AMD Ryzen,SSD,Windows11, 9 8945HS - GA403UV-G14.R94060
"$1,049.99",ASUS,Gray,24,2048,14,Vivobook,NVIDIA GeForce RTX 3050,134,4.6,Intel,SSD,Windows11, Core Ultra - Q543MJ-U93050
