Brand,Laptop_Model_Name,Laptop_Model_Number,Processor_Brand,Processor_Model,Storage_Type,Operating_System,Display_Resolution,Extracted_Rating,Battery_Life(Hours_Upto),No_Of_Reviews,Price,Stock,Time_Of_Extraction,URL,Source,Storage_Capacity(GB),RAM(GB),Display_Size(Inches),Laptop_Weight(Pounds),Laptop_Dimensions
HP,"Envy 2-in-1 16"" 2K Touch-Screen Laptop - Intel Core Ultra 7 - 16GB Memory - 1TB SSD",16-ac0023dx,Intel,Intel Core Ultra 7 Series 1,SSD,Windows 11 Home,1920 x 1200 (WUXGA),4.6,13.25,(432 Reviews),1099.99,yes,2024-11-02 20:17:21,https://www.bestbuy.com/site/hp-envy-2-in-1-16-2k-touch-screen-laptop-intel-core-ultra-7-16gb-memory-1tb-ssd-glacier-silver/6571084.p?skuId=6571084,BestBuy,1024,16,16.0,4.14,0.72 x 14.04 x 9.68 inches
Samsung,"Galaxy Book4 15.6"" FHD Laptop - Intel Core 7- 16GB Memory - 512GB SSD",NP750XGK-KS2US,Intel,Intel Core 7 Series 1,SSD,Windows 11 Home,1920 x 1080 (Full HD),4.6,15.0,(224 Reviews),549.99,yes,2024-11-02 20:17:26,https://www.bestbuy.com/site/samsung-galaxy-book4-15-6-fhd-laptop-intel-core-7-16gb-memory-512gb-ssd-silver/6572184.p?skuId=6572184,BestBuy,512,16,15.6,3.42,0.61 x 9.02 x 14.04 inches
Dell,Inspiron 15 Touch Screen Laptop – Intel Core i5 – 8GB – 512GB SSD,i3520-5124BLK-PUS,Intel,Intel 12th Generation Core i5,SSD,Windows 11 Home in S Mode,1920 x 1080 (Full HD),4.5,7.0,(711 Reviews),629.99,yes,2024-11-02 20:17:30,https://www.bestbuy.com/site/dell-inspiron-15-touch-screen-laptop-intel-core-i5-8gb-512gb-ssd-carbon-black/6573731.p?skuId=6573731,BestBuy,512,8,15.6,3.65,0.83 x 14.11 x 9.27 inches
Lenovo,"Ideapad 1 15.6"" Full HD Touchscreen Laptop - Ryzen 7 5700U with 16GB Memory - AMD Radeon Graphics - 512GB SSD",82R400DTUS,AMD,AMD Ryzen 7 5000 Series PRO,SSD,Windows 11 Home,1920 x 1080 (Full HD),4.7,9.0,(860 Reviews),479.99,yes,2024-11-02 20:17:35,https://www.bestbuy.com/site/lenovo-ideapad-1-15-6-full-hd-touchscreen-laptop-ryzen-7-5700u-with-16gb-memory-amd-radeon-graphics-512gb-ssd-cloud-gray/6555683.p?skuId=6555683,BestBuy,512,16,15.6,3.52,0.7 x 9.29 x 14.17 inches
HP,"15.6"" Touch-Screen Laptop - Intel Core i3 - 8GB Memory - 256GB SSD",15-FD0023DX,Intel,Intel 12th Generation Core i3,SSD,Windows 11 Home in S Mode,1366 x 768 (HD),5.0,10.25,(4 Reviews),329.99,yes,2024-11-02 20:17:46,https://www.bestbuy.com/site/hp-15-6-touch-screen-laptop-intel-core-i3-8gb-memory-256gb-ssd-natural-silver/6587436.p?skuId=6587436,BestBuy,256,8,15.6,3.52,0.73 x 14.17 x 9.29 inches
ASUS,"ASUS 14"" FHD Laptop - Intel Celeron N4500 with 4GB Memory - 64GB eMMC",E410KA-CL464,Intel,Intel Celeron,eMMC,Windows 11 Home in S Mode,1920 x 1080 (Full HD),4.2,10.0,(250 Reviews),119.99,yes,2024-11-02 20:17:51,https://www.bestbuy.com/site/asus-14-fhd-laptop-intel-celeron-n4500-with-4gb-memory-64gb-emmc-star-black/6568803.p?skuId=6568803,BestBuy,64,4,14.0,2.87,0.71 x 8.54 x 12.8 inches
Lenovo,"Ideapad 1 15.6"" Full HD Touchscreen Laptop - Ryzen 5 7520U with 8GB Memory - AMD Radeon Graphics - 256GB SSD",82VG00MYUS,AMD,AMD Ryzen 5 7000 Series,SSD,Windows 11 Home in S Mode,1920 x 1080 (Full HD),4.5,10.0,(225 Reviews),319.99,yes,2024-11-02 20:17:56,https://www.bestbuy.com/site/lenovo-ideapad-1-15-6-full-hd-touchscreen-laptop-ryzen-5-7520u-with-8gb-memory-amd-radeon-graphics-256gb-ssd-abyss-blue/6572417.p?skuId=6572417,BestBuy,256,8,15.6,3.52,0.7 x 9.29 x 14.17 inches
HP,"15.6"" Chromebook Laptop - Intel Processor N200 - 8GB Memory - 64GB eMMC",15a-nb0013dx,Intel,Intel Processor N200,eMMC,Chrome OS,1366 x 768 (HD),4.6,,(909 Reviews),199.0,yes,2024-11-02 20:18:01,https://www.bestbuy.com/site/hp-15-6-chromebook-laptop-intel-processor-n200-8gb-memory-64gb-emmc-natural-silver/6535992.p?skuId=6535992,BestBuy,64,8,15.6,3.81,0.78 x 14.28 x 9.51 inches
Apple,"MacBook Pro 14"" Laptop - M3 Pro chip Built for Apple Intelligence - 18GB Memory - 14-core GPU - 512GB SSD",MRX33LL/A,Apple,Apple M3 Pro,SSD,macOS Sonoma 14,3024 x 1964,4.9,18.0,"(2,519 Reviews)",1699.0,yes,2024-11-02 20:18:06,https://www.bestbuy.com/site/apple-macbook-pro-14-laptop-m3-pro-chip-built-for-apple-intelligence-18gb-memory-14-core-gpu-512gb-ssd-space-black/6534615.p?skuId=6534615,BestBuy,512,18,14.2,3.5,0.61 x 12.31 x 8.71 inches
HP,"14"" Chromebook Laptop - Intel Celeron - 4GB Memory - 64GB eMMC",14a-ne0013dx,Intel,Intel Celeron,eMMC,Chrome OS,1366 x 768 (HD),4.5,,"(2,183 Reviews)",159.0,yes,2024-11-02 20:18:11,https://www.bestbuy.com/site/hp-14-chromebook-laptop-intel-celeron-4gb-memory-64gb-emmc-modern-gray/6513217.p?skuId=6513217,BestBuy,64,4,14.0,3.35,0.72 x 12.85 x 8.94 inches
Lenovo,"IdeaPad 1i 15.6"" FHD Touchscreen Laptop - Intel Core i5 - 8GB Memory with 512GB SSD Storage",82QD00HMUS,Intel,Intel 12th Generation Core i5,SSD,Windows 11 Home in S Mode,1920 x 1080 (Full HD),,10.0,Be the first to write a review,399.99,yes,2024-11-02 20:18:19,https://www.bestbuy.com/site/lenovo-ideapad-1i-15-6-fhd-touchscreen-laptop-intel-core-i5-8gb-memory-with-512gb-ssd-storage-abyss-blue/6588661.p?skuId=6588661,BestBuy,512,8,15.6,3.52,0.7 x 9.29 x 14.17 inches
Apple,MacBook Air 13-inch Laptop - M3 chip Built for Apple Intelligence - 8GB Memory -  256GB SSD,MRXV3LL/A,Apple,Apple M3,SSD,macOS Sonoma 14,2560 x 1664,4.9,18.0,"(1,184 Reviews)",999.0,yes,2024-11-02 20:18:24,https://www.bestbuy.com/site/apple-macbook-air-13-inch-laptop-m3-chip-built-for-apple-intelligence-8gb-memory-256gb-ssd-midnight/6565837.p?skuId=6565837,BestBuy,256,8,13.6,2.7,0.44 x 11.97 x 8.46 inches
Dell,Inspiron 15 (3520) Touch Laptop - Intel Core i7 processor - 16GB Memory - 1TB SSD,i3520-7896BLK-PUS,Intel,Intel 12th Generation Core i7,SSD,Windows 11 Home in S Mode,1920 x 1080 (Full HD),4.7,9.0,(123 Reviews),749.99,yes,2024-11-02 20:18:29,https://www.bestbuy.com/site/dell-inspiron-15-3520-touch-laptop-intel-core-i7-processor-16gb-memory-1tb-ssd-carbon-black/6580453.p?skuId=6580453,BestBuy,1000,16,15.6,3.65,0.83 x 14.11 x 9.27 inches
Lenovo,"Yoga Pro 9i 16"" 3.2K Mini LED Touchscreen Laptop - Intel Core Ultra 9 - 32GB Memory - NVIDIA GeForce RTX 4060 - 1TB SSD",83DN0007US,Intel,Intel Core Ultra 9 Series 1,SSD,Windows 11 Home,3200 x 2000,4.2,5.0,(57 Reviews),1699.99,yes,2024-11-02 20:18:36,https://www.bestbuy.com/site/lenovo-yoga-pro-9i-16-3-2k-mini-led-touchscreen-laptop-intel-core-ultra-9-32gb-memory-nvidia-geforce-rtx-4060-1tb-ssd-luna-grey/6571373.p?skuId=6571373,BestBuy,1000,32,16.0,5.07,0.81 x 14.28 x 9.99 inches
