key_specs.graphics,general.product_name,processor.number_of_cpu_cores,features.casing_material,graphics.unlocked_gpu,memory.expandable_memory_compatibility,graphics.gpu_boost_clock_frequency,connectivity.usb_ports,key_specs.battery_type,memory.type_of_memory_(ram),camera.front_facing_camera_megapixels,connectivity.number_of_usb-c_charging_ports,power.battery_type,connectivity.ethernet_card,certifications_&_listings.epeat_qualified,general.model_family,key_specs.battery_life_(up_to),key_specs.works_with,general.year_of_release,storage.hard_drive_interface,processor.l1_cache,dimension.product_height,camera.front_facing_camera_video_resolution,camera.rear_facing_camera_megapixels,connectivity.network_connectivity,connectivity.compatible_wireless_standard(s),storage.emmc_capacity,dimensions.product_width,camera.rear_facing_camera_video_resolution,connectivity.display_connector(s),connectivity.number_of_usb_ports_(total),included.optical_drive_type,storage.hard_drive_rpm,connectivity.bluetooth_version,cooling.cpu_cooling_system,display.refresh_rate,compatibility.operating_system_compatibility,camera.built-in_microphone,memory.number_of_memory_sticks_included,graphics.number_of_gpu_cores,connectivity.number_of_hdmi_outputs_(total),key_specs.refresh_rate,features.touchpad_type,features.speaker_type,storage.hard_drive_capacity,key_specs.screen_resolution,graphics.graphics_type,dimensions.product_weight,key_specs.backlit_keyboard,included.included_software,features.media_card_slot,display.high_dynamic_range_(hdr),power.power_supply_input,processor.neural_processing_unit_(npu),display.display_surface,display.color_gamut_(ntsc),connectivity.headphone_jack,general.model_number,storage.total_storage_capacity,connectivity.wireless_connectivity,other.upc,power.charging_interface(s),graphics.graphics,dimension.product_weight,graphics.gpu_video_memory_type_(ram),warranty.manufacturer's_warranty_-_labor,processor.l3_cache,rating_average,connectivity.wireless_standard,dimension.product_width,features.backlit_keyboard,display.screen_type,features.media_card_reader,cooling.number_of_cpu_cooling_fans,storage.solid_state_drive_capacity,key_specs.screen_type,connectivity.number_of_displayport_outputs_(total),display.screen_size,display.screen_resolution,graphics.gpu_base_clock_frequency,key_specs.screen_size,warranty.manufacturer's_warranty_-_parts,features.keyboard_technology,review_count,connectivity.number_of_vga_ports,camera.rear-facing_camera,power.power_supply_maximum_wattage,key_specs.brightness,connectivity.gps_enabled,dimensions.product_height,features.customizable_case_lighting,key_specs.voice_assistant_built-in,certifications_&_listings.energy_star_certified,storage.solid_state_drive_interface,in_stock,key_specs.2-in-1_design,dimensions.product_depth,processor.unlocked_processor,graphics.advanced_graphics_rendering_technique(s),compatibility.operating_system_architecture,key_specs.touch_screen,certifications_&_listings.epeat_level,key_specs.cpu_base_clock_frequency,camera.front-facing_camera,features.mac_features,price,memory.number_of_memory_slots,included.stylus_included,connectivity.data_plan_required,key_specs.total_storage_capacity,features.security_features,display.display_type,processor.processor_brand,display.touch_screen,display.stylus_input,connectivity.number_of_usb_type_c_charging_ports,features.customizable_keyboard_lighting,graphics.gpu_video_memory_(ram),power.battery_capacity,memory.system_memory_ram_expandable_to,features.cable_lock_slot,features.windows_ai,processor.cpu_base_clock_frequency,features.keyboard_included,display.brightness,processor.cpu_cache_memory_level,cooling.number_of_gpu_cooling_fans,memory.system_memory_ram_speed,connectivity.interface(s),key_specs.system_memory_(ram),key_specs.storage_type,key_specs.display_connector(s),processor.maximum_npu_performance,storage.hard_drive_accelerator,"expansion.number_of_internal_2.5""_bays",general.color_category,compatibility.works_with,connectivity.number_of_thunderbolt_ports_(total),url,processor.processor_model_number,timestamp,key_specs.wireless_connectivity,display.color_gamut_(standard_rgb),processor.processor_model,connectivity.number_of_usb-a_charging_ports,key_specs.security_features,features.2-in-1_design,features.windows_features,compatibility.voice_assistant_built-in,connectivity.microphone_input,connectivity.displayport_over_usb-c,memory.system_memory_(ram),power.battery_cells,power.battery_life_(up_to),key_specs.processor_model,features.chrome_features,general.color,storage.storage_type,compatibility.operating_system,graphics.gpu_brand,included.numeric_keypad,features.gps_enabled,expansion.number_of_m.2_slots,general.brand,dimension.product_depth,processor.l2_cache,features.audio_technology,processor.cpu_boost_clock_frequency,connectivity.wireless_networking_standard,features.foldable_screen,features.stylus_dock,key_specs.operating_system,processor.number_of_cpu_threads,display.synchronization_technology,cooling.gpu_cooling_system,connectivity.number_of_ethernet_ports,product_title
Intel Graphics,"Envy 2-in-1 16"" 2K Touch-Screen Laptop - Intel Core Ultra 7 - 16GB Memory - 1TB SSD",12-core,Aluminum,,,,"2 x USB-A 3.1, 1 x USB-C 3.1",Lithium-ion polymer,LPDDR5,5 megapixels,,Lithium-ion polymer,,Yes,,13.25 hours,,2024,,,,,,,,,14.04 inches,,"1 x HDMI 2.1, 1 x Thunderbolt 4",3,None,,,,,,Yes,,,1,,,Poly Studio with dual speakers,,1920 x 1200 (WUXGA),Integrated,4.14 pounds,Yes,,,,,No,,,Yes,16-ac0023dx,1024 gigabytes,"Bluetooth, Wi-Fi",198122036547,,Intel Graphics,,,1 year,12 megabytes,4.6,,,Yes,IPS,No,,1024 gigabytes,IPS,,16 inches,1920 x 1200 (WUXGA),,16 inches,1 year,,(432 Reviews),,,65 watts,300 nits,,0.72 inches,,,Yes,PCIe,yes,Yes,9.68 inches,No,,,Yes,Gold,,Yes,,"$1,099.99Your price for this item is $1,099.99",,,,1024 gigabytes,Privacy camera,LED,Intel,Yes,,,,,,,,Copilot,,,300 nits,L3,,6400 megahertz,,16 gigabytes,SSD,"1 x HDMI 2.1, 1 x Thunderbolt 4",,,,Silver,,1,https://www.bestbuy.com/site/hp-envy-2-in-1-16-2k-touch-screen-laptop-intel-core-ultra-7-16gb-memory-1tb-ssd-glacier-silver/6571084.p?skuId=6571084,155U,2024-11-02 20:17:21,,62.5 percent,Intel Core Ultra 7 Series 1,,,Yes,,Not Applicable,Yes,,16 gigabytes,4-cell,13.25 hours,Intel Core Ultra 7 Series 1,,Glacier Silver,SSD,Windows 11 Home,Intel,No,,,HP,,,,4.8 gigahertz,Wi-Fi 6E,,,,,,,0,"HP - Envy 2-in-1 16"" 2K Touch-Screen Laptop - Intel Core Ultra 7 - 16GB Memory - 1TB SSD - Glacier Silver"
Intel Graphics,"Galaxy Book4 15.6"" FHD Laptop - Intel Core 7- 16GB Memory - 512GB SSD",10-core,Aluminum,No,,1.3 gigahertz,"2 x USB-A 3.2, 2 x USB-C",Lithium-ion,LPDDR4X,,,Lithium-ion,,Yes,,15 hours,,2024,,,,720p,,,,,9.02 inches,,"1 x HDMI, Display connection via USB port",4,None,,,Air,60Hz,,Yes,,,1,60Hz,,Stereo Speakers (2W x2),,1920 x 1080 (Full HD),Integrated,3.42 pounds,Yes,,microSD,,,No,,,Yes,NP750XGK-KS2US,512 gigabytes,"Wi-Fi, Bluetooth",887276834672,,Intel Graphics,,,1 year,,4.6,,,Yes,,Yes,,512 gigabytes,,0,15.6 inches,1920 x 1080 (Full HD),,15.6 inches,1 year,,(224 Reviews),0,,45 watts,300 nits,,0.61 inches,No,,Yes,,yes,No,14.04 inches,No,,,No,Silver,1.2 gigahertz,Yes,,$549.99Your price for this item is $549.99,,No,,512 gigabytes,"Cable lock slot, Fingerprint reader",LED,Intel,No,,,No,,3530 milliampere hours,,Kensington Security Slot (K-Slot),Copilot,1.2 gigahertz,,300 nits,,,6000 megahertz,,16 gigabytes,SSD,"1 x HDMI, Display connection via USB port",,,,Silver,"Amazon Alexa, Bixby, Cortana, SmartThings",0,https://www.bestbuy.com/site/samsung-galaxy-book4-15-6-fhd-laptop-intel-core-7-16gb-memory-512gb-ssd-silver/6572184.p?skuId=6572184,150U,2024-11-02 20:17:26,,,Intel Core 7 Series 1,,,No,,Bixby,Yes,,16 gigabytes,4-cell,15 hours,Intel Core 7 Series 1,,Silver,SSD,Windows 11 Home,Intel,Yes,,,Samsung,,,Dolby Atmos,5.4 gigahertz,,No,None,,12,,Air,1,"Samsung - Galaxy Book4 15.6"" FHD Laptop - Intel Core 7- 16GB Memory - 512GB SSD - Silver"
Intel UHD Graphics,Inspiron 15 Touch Screen Laptop – Intel Core i5 – 8GB – 512GB SSD,10-core,Plastic,,,,"2 x USB-A 3.2, 1 x USB-A 2.0",Lithium-ion,DDR4,0.92 megapixels,,Lithium-ion,,No,,7 hours,,2024,,,,720p,,,,,14.11 inches,,1 x HDMI 1.4,3,None,,,Air,60Hz,,Yes,1,,1,60Hz,"Multi-touch, Gesture",Stereo Speakers,,1920 x 1080 (Full HD),Integrated,3.65 pounds,No,; MS Office 30-Day Trial,,,,,,,Yes,i3520-5124BLK-PUS,512 gigabytes,"Bluetooth, Wi-Fi",884116427124,,Intel UHD Graphics,,,1 Year Mail In Service,0 megabytes,4.5,AC,,No,IPS,Yes,,512 gigabytes,IPS,0,15.6 inches,1920 x 1080 (Full HD),,15.6 inches,1 Year Mail In Service,Mechanical,(711 Reviews),0,,65 watts,220 nits,,0.83 inches,No,,Yes,PCIe,yes,No,9.27 inches,,,64-bit,Yes,,1.3 gigahertz,Yes,,$629.99Your price for this item is $629.99,2,No,,512 gigabytes,,LED,Intel,Yes,,,No,,,,None,,1.3 gigahertz,,220 nits,L3,,2666 megahertz,,8 gigabytes,SSD,1 x HDMI 1.4,,,,Black,,0,https://www.bestbuy.com/site/dell-inspiron-15-touch-screen-laptop-intel-core-i5-8gb-512gb-ssd-carbon-black/6573731.p?skuId=6573731,1235U,2024-11-02 20:17:30,,,Intel 12th Generation Core i5,,,No,,,Yes,,8 gigabytes,3-cell,7 hours,Intel 12th Generation Core i5,,Carbon Black,SSD,Windows 11 Home in S Mode,Intel,Yes,No,,Dell,,,MaxxAudio Pro (Windows),4.4 gigahertz,Wi-Fi 5,No,None,,12,,,0,Dell - Inspiron 15 Touch Screen Laptop – Intel Core i5 – 8GB – 512GB SSD - Carbon Black
AMD Radeon,"Ideapad 1 15.6"" Full HD Touchscreen Laptop - Ryzen 7 5700U with 16GB Memory - AMD Radeon Graphics - 512GB SSD",8-core,,,,,"1 x USB-A 2.0, 1 x USB-A 3.0, 1 x USB-C",Lithium-polymer,DDR4,,,Lithium-polymer,,No,,9 hours,,2023,,,,720p,,,,,9.29 inches,,1 x HDMI,3,,,,Air,60Hz,,Yes,,8,1,60Hz,,2 x 1.5W,,1920 x 1080 (Full HD),Integrated,3.52 pounds,No,,,,,,,,Yes,82R400DTUS,512 gigabytes,"Wi-Fi, Bluetooth",197532658363,,AMD Radeon,,,1 year,8 megabytes,4.7,AX,,No,IPS,Yes,,512 gigabytes,IPS,1,15.6 inches,1920 x 1080 (Full HD),,15.6 inches,1 year,,(860 Reviews),,,42 watts,300 nits,,0.7 inches,,,No,,yes,No,14.17 inches,,,64-bit,Yes,,1.8 gigahertz,Yes,,$479.99Your price for this item is $479.99,,,,512 gigabytes,,LCD,AMD,Yes,,,,,,,,Copilot,1.8 gigahertz,,300 nits,"L2, L3",,3200 megahertz,,16 gigabytes,SSD,1 x HDMI,,,,Gray,,,https://www.bestbuy.com/site/lenovo-ideapad-1-15-6-full-hd-touchscreen-laptop-ryzen-7-5700u-with-16gb-memory-amd-radeon-graphics-512gb-ssd-cloud-gray/6555683.p?skuId=6555683,5700U,2024-11-02 20:17:35,,,AMD Ryzen 7 5000 Series PRO,,,No,,,Yes,,16 gigabytes,3-cell,9 hours,AMD Ryzen 7 5000 Series PRO,,Cloud Gray,SSD,Windows 11 Home,AMD Radeon,,,,Lenovo,,4 megabytes,Dolby Audio,4.3 gigahertz,,,,,16,,,,"Lenovo - Ideapad 1 15.6"" Full HD Touchscreen Laptop - Ryzen 7 5700U with 16GB Memory - AMD Radeon Graphics - 512GB SSD - Cloud Gray"
Intel UHD Graphics,"15.6"" Touch-Screen Laptop - Intel Core i3 - 8GB Memory - 256GB SSD",6-core,,,,,"2 x USB-A 3.0, 1 x USB-C 3.0",Lithium-ion polymer,DDR4,,,Lithium-ion polymer,,Yes,,10.25 hours,,2024,,,,720p,,,,,14.17 inches,,1 x HDMI 1.4,3,None,,,,,,Yes,,,1,,,,,1366 x 768 (HD),Integrated,3.52 pounds,No,,,,,No,,45 percent,Yes,15-FD0023DX,256 gigabytes,"Bluetooth, Wi-Fi",198415965844,,Intel UHD Graphics,,,1 year,10 megabytes,5.0,,,No,,No,,256 gigabytes,,,15.6 inches,1366 x 768 (HD),,15.6 inches,1 year,,(4 Reviews),,,45 watts,250 nits,,0.73 inches,,,Yes,PCIe,yes,,9.29 inches,No,,,Yes,Gold,,Yes,,$329.99Your price for this item is $329.99,,,,256 gigabytes,Privacy camera,LED,Intel,Yes,,,,,,,,,,,250 nits,L3,,3200 megahertz,,8 gigabytes,SSD,1 x HDMI 1.4,,,,Silver,,,https://www.bestbuy.com/site/hp-15-6-touch-screen-laptop-intel-core-i3-8gb-memory-256gb-ssd-natural-silver/6587436.p?skuId=6587436,1215U,2024-11-02 20:17:46,,,Intel 12th Generation Core i3,,,,,Not Applicable,Yes,,8 gigabytes,3-cell,10.25 hours,Intel 12th Generation Core i3,,Natural Silver,SSD,Windows 11 Home in S Mode,Intel,Yes,,,HP,,,HD Audio with stereo speakers,4.4 gigahertz,Wi-Fi 6E,,,,,,,0,"HP - 15.6"" Touch-Screen Laptop - Intel Core i3 - 8GB Memory - 256GB SSD - Natural Silver"
Intel Iris Xe Graphics,"ASUS 14"" FHD Laptop - Intel Celeron N4500 with 4GB Memory - 64GB eMMC",2-core (dual-core),,,,,"1 x USB-A 2.0, 1 x USB-A 3.2, 1 x USB-C 3.2",Lithium-ion,DDR4,,,Lithium-ion,,No,,10 hours,,2024,,,,720p,,None,,64 gigabytes,8.54 inches,,1 x HDMI 1.4,3,,,,Air,,,Yes,1,,1,,,,,1920 x 1080 (Full HD),Integrated,2.87 pounds,Yes,,microSD,,,,,,Yes,E410KA-CL464,64 gigabytes,"Bluetooth, Wi-Fi",197105482524,,Intel Iris Xe Graphics,,,1 year,,4.2,AC,,Yes,,Yes,,,,0,14 inches,1920 x 1080 (Full HD),,14 inches,1 year,,(250 Reviews),0,,33 watts,,,0.71 inches,,,Yes,,yes,No,12.8 inches,,,64-bit,No,,1.1 gigahertz,Yes,,$119.99Your price for this item is $119.99,1,No,,64 gigabytes,,LED,Intel,No,,,No,,,4 gigabytes,,,1.1 gigahertz,,,,,3200 megahertz,,4 gigabytes,eMMC,1 x HDMI 1.4,,,,Black,,0,https://www.bestbuy.com/site/asus-14-fhd-laptop-intel-celeron-n4500-with-4gb-memory-64gb-emmc-star-black/6568803.p?skuId=6568803,Intel Celeron-N4500,2024-11-02 20:17:51,,,Intel Celeron,,,No,,,Yes,,4 gigabytes,3-cell,10 hours,Intel Celeron,,Star Black,eMMC,Windows 11 Home in S Mode,Intel,No,No,,ASUS,,,,2.8 gigahertz,Wi-Fi 5,No,None,,,,,,"ASUS 14"" FHD Laptop - Intel Celeron N4500 with 4GB Memory - 64GB eMMC - Star Black"
AMD Radeon,"Ideapad 1 15.6"" Full HD Touchscreen Laptop - Ryzen 5 7520U with 8GB Memory - AMD Radeon Graphics - 256GB SSD",4-core (quad-core),,,,,"1 x USB-A 2.0, 1 x USB-C 3.2, 1 x USB-A 3.2",Lithium-polymer,DDR4,,1,Lithium-polymer,,No,,10 hours,,2023,,,,720p,,,,,9.29 inches,,1 x HDMI,3,,,,Air,,,Yes,,4,1,,,2 x 1.5W,,1920 x 1080 (Full HD),Integrated,3.52 pounds,No,,,,,,,,Yes,82VG00MYUS,256 gigabytes,"Wi-Fi, Bluetooth",197530164415,,AMD Radeon,,,1 year,,4.5,AX,,No,IPS,Yes,,256 gigabytes,IPS,1,15.6 inches,1920 x 1080 (Full HD),,15.6 inches,1 year,,(225 Reviews),,,65 watts,300 nits,,0.7 inches,,,No,,yes,No,14.17 inches,,,64-bit,Yes,,2.4 gigahertz,Yes,,$319.99Your price for this item is $319.99,,,,256 gigabytes,,LCD,AMD,Yes,,,,,,,,Copilot,2.4 gigahertz,,300 nits,,,3200 megahertz,,8 gigabytes,SSD,1 x HDMI,,,,Blue,,,https://www.bestbuy.com/site/lenovo-ideapad-1-15-6-full-hd-touchscreen-laptop-ryzen-5-7520u-with-8gb-memory-amd-radeon-graphics-256gb-ssd-abyss-blue/6572417.p?skuId=6572417,7520U,2024-11-02 20:17:56,,,AMD Ryzen 5 7000 Series,,,No,,,Yes,,8 gigabytes,3-cell,10 hours,AMD Ryzen 5 7000 Series,,Abyss Blue,SSD,Windows 11 Home in S Mode,AMD Radeon,,,,Lenovo,,,Dolby Audio,4.3 gigahertz,,,,,8,,,,"Lenovo - Ideapad 1 15.6"" Full HD Touchscreen Laptop - Ryzen 5 7520U with 8GB Memory - AMD Radeon Graphics - 256GB SSD - Abyss Blue"
Intel UHD Graphics,"15.6"" Chromebook Laptop - Intel Processor N200 - 8GB Memory - 64GB eMMC",4-core (quad-core),,,,,"1 x USB-A 3.1, 2 x USB-C 3.1",Lithium-ion polymer,LPDDR5,,,Lithium-ion polymer,,Yes,,,,2023,,,,720p,,,,64 gigabytes,14.28 inches,,No external display connection,3,None,,,,,,Yes,,,0,,,,,1366 x 768 (HD),Integrated,3.81 pounds,No,,,,,No,,45 percent,Yes,15a-nb0013dx,64 gigabytes,"Bluetooth, Wi-Fi",197192458518,,Intel UHD Graphics,,,1 year,6 megabytes,4.6,,,No,,Yes,,,,0,15.6 inches,1366 x 768 (HD),,15.6 inches,1 year,,(909 Reviews),,,45 watts,250 nits,,0.78 inches,,,Yes,,yes,No,9.51 inches,No,,,No,Gold,1.1 gigahertz,Yes,,$199.00Your price for this item is $199.00,2,,,64 gigabytes,Privacy camera,LED,Intel,No,,,,,,,,,1.1 gigahertz,,250 nits,L3,,4800 megahertz,,8 gigabytes,eMMC,No external display connection,,,,Silver,Google Assistant,0,https://www.bestbuy.com/site/hp-15-6-chromebook-laptop-intel-processor-n200-8gb-memory-64gb-emmc-natural-silver/6535992.p?skuId=6535992,N200,2024-11-02 20:18:01,,,Intel Processor N200,,,No,,Google Assistant,,,8 gigabytes,2-cell,,Intel Processor N200,Google Assistant,Natural Silver,eMMC,Chrome OS,Intel,Yes,,,HP,,,HD Audio with stereo speakers,3.7 gigahertz,Wi-Fi 6,,,,,,,0,"HP - 15.6"" Chromebook Laptop - Intel Processor N200 - 8GB Memory - 64GB eMMC - Natural Silver"
Apple M3 Pro 14-core,"MacBook Pro 14"" Laptop - M3 Pro chip Built for Apple Intelligence - 18GB Memory - 14-core GPU - 512GB SSD",11-core,Aluminum,,,,,Lithium-ion,Not provided,,,Lithium-ion,,Yes,,18 hours,,2023,,,,1080p,,,,,12.31 inches,,"1 x HDMI, 3 x Thunderbolt 4",,,,,,120Hz,,Yes,,,1,120Hz,,,,3024 x 1964,Integrated,3.5 pounds,Yes,,Secure Digital,,,,,,Yes,MRX33LL/A,512 gigabytes,"Wi-Fi, Bluetooth",195949000034,,Apple M3 Pro 14-core,,,1 year limited,,4.9,AX,,Yes,Retina Display,Yes,,512 gigabytes,Retina Display,,14.2 inches,3024 x 1964,,14.2 inches,1 year limited,,"(2,519 Reviews)",,,,1000 nits,,0.61 inches,,,Yes,,yes,,8.71 inches,,,,No,Gold,,Yes,"Siri, Touch ID sensor","$1,699.00Your price for this item is $1,699.00",,,,512 gigabytes,,,Apple,No,,,,,,,,,,,1000 nits,,,,,18 gigabytes,SSD,"1 x HDMI, 3 x Thunderbolt 4",,,,Black,Siri,3,https://www.bestbuy.com/site/apple-macbook-pro-14-laptop-m3-pro-chip-built-for-apple-intelligence-18gb-memory-14-core-gpu-512gb-ssd-space-black/6534615.p?skuId=6534615,Apple M3 Pro,2024-11-02 20:18:06,,,Apple M3 Pro,,,,,Siri,,,18 gigabytes,6-cell,18 hours,Apple M3 Pro,,Space Black,SSD,macOS Sonoma 14,Apple,,,,Apple,,,,,Wi-Fi 6E,,,,,,,,"Apple - MacBook Pro 14"" Laptop - M3 Pro chip Built for Apple Intelligence - 18GB Memory - 14-core GPU - 512GB SSD - Space Black"
Intel UHD Graphics 600,"14"" Chromebook Laptop - Intel Celeron - 4GB Memory - 64GB eMMC",4-core (quad-core),,,,,"2 x USB-A 3.0, 1 x USB-C 3.1",Lithium-ion,LPDDR4,,,Lithium-ion,,Yes,,,,2022,,,,720p,,,,64 gigabytes,12.85 inches,,1 x HDMI,3,None,,,,,,Yes,1,,1,,,HD Audio with stereo speakers,,1366 x 768 (HD),Integrated,3.35 pounds,No,Chrome OS,,,,No,,,Yes,14a-ne0013dx,64 gigabytes,"Bluetooth, Wi-Fi",196786663932,,Intel UHD Graphics 600,,,1 year,,4.5,AC,,No,,No,,,,0,14 inches,1366 x 768 (HD),,14 inches,1 year,,"(2,183 Reviews)",,,,,,0.72 inches,,,Yes,,yes,No,8.94 inches,,,,No,Silver,1.1 gigahertz,Yes,,$159.00Your price for this item is $159.00,1,,,64 gigabytes,,,Intel,No,,,,,,,Kensington Security Slot (K-Slot),,1.1 gigahertz,,,L2,,4266 megahertz,,4 gigabytes,eMMC,1 x HDMI,,,,Silver,,0,https://www.bestbuy.com/site/hp-14-chromebook-laptop-intel-celeron-4gb-memory-64gb-emmc-modern-gray/6513217.p?skuId=6513217,N4120,2024-11-02 20:18:11,,,Intel Celeron,,,No,,Google Assistant,Yes,,4 gigabytes,,,Intel Celeron,,Modern Gray,eMMC,Chrome OS,Intel,No,No,,HP,,4 megabytes,HD Audio with stereo speakers,2.6 gigahertz,Wi-Fi 5,,,,,,,,"HP - 14"" Chromebook Laptop - Intel Celeron - 4GB Memory - 64GB eMMC - Modern Gray"
