processor.unlocked_processor,display.screen_type,camera.rear-facing_camera,general.model_family,storage.emmc_capacity,storage.hard_drive_capacity,included.optical_drive_type,connectivity.ethernet_card,connectivity.number_of_usb-c_charging_ports,connectivity.number_of_usb-a_charging_ports,certifications_&_listings.epeat_qualified,features.audio_technology,connectivity.number_of_usb_ports_(total),processor.cpu_base_clock_frequency,features.windows_features,key_specs.operating_system,"expansion.number_of_internal_2.5""_bays",compatibility.voice_assistant_built-in,key_specs.total_storage_capacity,storage.hard_drive_rpm,power.battery_life_(up_to),key_specs.voice_assistant_built-in,processor.number_of_cpu_cores,processor.l2_cache,features.stylus_dock,power.battery_cells,storage.solid_state_drive_interface,cooling.number_of_cpu_cooling_fans,timestamp,key_specs.brightness,dimensions.product_weight,connectivity.bluetooth_version,general.product_name,features.media_card_reader,display.screen_resolution,processor.number_of_cpu_threads,features.media_card_slot,connectivity.usb_ports,camera.rear_facing_camera_video_resolution,processor.processor_model_number,connectivity.gps_enabled,review_count,memory.number_of_memory_slots,dimensions.product_height,display.synchronization_technology,key_specs.2-in-1_design,power.power_supply_maximum_wattage,connectivity.compatible_wireless_standard(s),processor.processor_brand,camera.front-facing_camera,processor.l1_cache,camera.built-in_microphone,key_specs.cpu_base_clock_frequency,power.battery_capacity,cooling.number_of_gpu_cooling_fans,power.charging_interface(s),graphics.gpu_brand,dimension.product_weight,certifications_&_listings.epeat_level,key_specs.screen_type,connectivity.wireless_standard,display.brightness,included.included_software,key_specs.touch_screen,storage.total_storage_capacity,key_specs.screen_size,display.color_gamut_(ntsc),display.screen_size,storage.hard_drive_interface,cooling.cpu_cooling_system,dimensions.product_width,features.speaker_type,display.refresh_rate,connectivity.headphone_jack,key_specs.works_with,expansion.number_of_m.2_slots,warranty.manufacturer's_warranty_-_parts,features.windows_ai,connectivity.display_connector(s),display.high_dynamic_range_(hdr),storage.solid_state_drive_capacity,power.battery_type,price,connectivity.number_of_displayport_outputs_(total),key_specs.display_connector(s),graphics.number_of_gpu_cores,in_stock,memory.system_memory_ram_speed,general.brand,features.chrome_features,product_title,compatibility.operating_system,key_specs.wireless_connectivity,dimensions.product_depth,processor.processor_model,key_specs.processor_model,features.mac_features,warranty.manufacturer's_warranty_-_labor,graphics.advanced_graphics_rendering_technique(s),dimension.product_depth,key_specs.screen_resolution,features.keyboard_technology,connectivity.number_of_vga_ports,display.stylus_input,key_specs.battery_type,cooling.gpu_cooling_system,dimension.product_height,other.upc,general.color_category,key_specs.refresh_rate,power.power_supply_input,features.2-in-1_design,features.backlit_keyboard,storage.storage_type,included.stylus_included,display.color_gamut_(standard_rgb),key_specs.system_memory_(ram),key_specs.battery_life_(up_to),features.cable_lock_slot,memory.system_memory_(ram),dimension.product_width,key_specs.backlit_keyboard,general.model_number,connectivity.number_of_ethernet_ports,graphics.gpu_boost_clock_frequency,graphics.gpu_video_memory_type_(ram),connectivity.wireless_connectivity,display.display_surface,compatibility.operating_system_compatibility,key_specs.storage_type,features.gps_enabled,key_specs.graphics,display.display_type,connectivity.number_of_usb_type_c_charging_ports,connectivity.network_connectivity,memory.number_of_memory_sticks_included,graphics.unlocked_gpu,connectivity.data_plan_required,features.keyboard_included,processor.neural_processing_unit_(npu),storage.hard_drive_accelerator,memory.system_memory_ram_expandable_to,camera.front_facing_camera_video_resolution,connectivity.microphone_input,url,processor.maximum_npu_performance,compatibility.works_with,features.casing_material,features.customizable_case_lighting,camera.rear_facing_camera_megapixels,included.numeric_keypad,rating_average,graphics.gpu_video_memory_(ram),features.customizable_keyboard_lighting,features.foldable_screen,processor.cpu_cache_memory_level,features.touchpad_type,general.color,graphics.gpu_base_clock_frequency,key_specs.security_features,connectivity.wireless_networking_standard,processor.l3_cache,image_src,graphics.graphics,general.year_of_release,memory.expandable_memory_compatibility,camera.front_facing_camera_megapixels,processor.cpu_boost_clock_frequency,compatibility.operating_system_architecture,connectivity.number_of_thunderbolt_ports_(total),connectivity.displayport_over_usb-c,connectivity.number_of_hdmi_outputs_(total),graphics.graphics_type,features.security_features,memory.type_of_memory_(ram),certifications_&_listings.energy_star_certified,display.touch_screen
,IPS,,,,,None,,,,Yes,,3,,,,,,512 gigabytes,,9.5 hours,,10-core,,,3-cell,PCIe,,2024-12-05 03:01:56,300 nits,3.52 pounds,,"15.6"" Full HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB SSD",,1920 x 1080 (Full HD),,,"1 x USB-C 3.0, 2 x USB-A 3.0",,1255U,,(158 Reviews),,0.73 inches,,,45 watts,,Intel,Yes,,Yes,,,,,Intel,,Gold,IPS,,300 nits,,Yes,512 gigabytes,15.6 inches,45 percent,15.6 inches,,,14.17 inches,,,Yes,,,1 year,,1 x HDMI 1.4,,512 gigabytes,Lithium-ion polymer,$549.99Your price for this item is $549.99,,1 x HDMI 1.4,,yes,3200 megahertz,,,"15.6"" Full HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB SSD - Natural Silver",Windows 11 Home in S Mode,,9.29 inches,Intel 12th Generation Core i7,Intel 12th Generation Core i7,,1 year,,,1920 x 1080 (Full HD),,,,Lithium-ion polymer,,,198415975584,Silver,,,,No,SSD,,,16 gigabytes,9.5 hours,,16 gigabytes,,No,A9PE7UA#ABA,,,,"Bluetooth, Wi-Fi",,,SSD,,Intel Iris Xe Graphics,LED,,,,,,,No,,16 gigabytes,720p,Yes,https://www.bestbuy.com/site/15-6-full-hd-touch-screen-laptop-intel-core-i7-16gb-memory-512gb-ssd-natural-silver/6587202.p?skuId=6587202,,,,,,Yes,4.6,,,,L3,,Natural Silver,,,Wi-Fi 6E,12 megabytes,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2b810a44-822a-4dd1-ae2d-7243d954e406.jpg;maxHeight=640;maxWidth=550;format=webp,Intel Iris Xe Graphics,2024,,,4.7 gigahertz,,,,1,Integrated,Privacy camera,DDR4,Yes,Yes
,,,,,,,,,,Yes,,2,,,,,,256 gigabytes,,,,8-core,,,4-cell,,,2024-12-05 03:02:04,,2.73 pounds,,MacBook Air 13-inch Apple M2 chip Built for Apple Intelligence - 16GB Memory - 256GB SSD,,2560 x 1664,,,2 x USB-C 4,,Apple M2,,(67 Reviews),,0.44 inches,,,,,Apple,Yes,,,,,,,Apple,,Gold,,,,,No,256 gigabytes,13 inches,,13 inches,,,11.97 inches,,,,,,Apple One (1) Year Limited Warranty,,2 x Thunderbolt,,256 gigabytes,Lithium-ion,$999.00Your price for this item is $999.00,,2 x Thunderbolt,,yes,,Apple,,Apple - MacBook Air 13-inch Apple M2 chip Built for Apple Intelligence - 16GB Memory - 256GB SSD - Midnight,macOS Sequoia 15.1,,8.46 inches,Apple M2,Apple M2,,Apple One (1) Year Limited Warranty,,,2560 x 1664,,,,Lithium-ion,,,195949900372,Blue,,,,Yes,SSD,,,16 gigabytes,,,16 gigabytes,,Yes,MC7X4LL/A,,,,"Bluetooth, Wi-Fi",,,SSD,,Apple M2 8-core,LED,,,,,,,,,,,,https://www.bestbuy.com/site/apple-macbook-air-13-inch-apple-m2-chip-built-for-apple-intelligence-16gb-memory-256gb-ssd-midnight/6602763.p?skuId=6602763,,,,,,,4.9,,,,,,Midnight,,,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/93d63192-c71c-4a26-8e0c-da261bf863c7.jpg;maxHeight=640;maxWidth=550;format=webp,Apple M2 8-core,2022,,,,,2,,,Integrated,,Not provided,Yes,No
No,,,,64 gigabytes,,None,,,,Yes,HD Audio with stereo speakers,3,1.1 gigahertz,,,,Google Assistant,64 gigabytes,,,,4-core (quad-core),,,2-cell,,,2024-12-05 03:02:10,250 nits,3.81 pounds,,"15.6"" Chromebook Laptop - Intel Processor N200 - 8GB Memory - 64GB eMMC",Yes,1366 x 768 (HD),,,"1 x USB-A 3.1, 2 x USB-C 3.1",,N200,,(934 Reviews),2,0.78 inches,,No,45 watts,,Intel,Yes,,Yes,1.1 gigahertz,,,,Intel,,Gold,,,250 nits,,No,64 gigabytes,15.6 inches,45 percent,15.6 inches,,,14.28 inches,,,Yes,,,1 year,,No external display connection,,,Lithium-ion polymer,$199.00Your price for this item is $199.00,0,No external display connection,,yes,4800 megahertz,HP,Google Assistant,"HP - 15.6"" Chromebook Laptop - Intel Processor N200 - 8GB Memory - 64GB eMMC - Natural Silver",Chrome OS,,9.51 inches,Intel Processor N200,Intel Processor N200,,1 year,,,1366 x 768 (HD),,,,Lithium-ion polymer,,,197192458518,Silver,,,No,No,eMMC,,,8 gigabytes,,,8 gigabytes,,No,7J267UA#ABA,0,,,"Bluetooth, Wi-Fi",,,eMMC,,Intel UHD Graphics,LED,,,,,,,No,,,720p,,https://www.bestbuy.com/site/hp-15-6-chromebook-laptop-intel-processor-n200-8gb-memory-64gb-emmc-natural-silver/6535992.p?skuId=6535992,,Google Assistant,,,,Yes,4.6,,,,L3,,Natural Silver,,,Wi-Fi 6,6 megabytes,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/9db75164-f0e3-43dd-864f-84a88c16ee56.jpg;maxHeight=640;maxWidth=550;format=webp,Intel UHD Graphics,2023,,,3.7 gigahertz,,0,,0,Integrated,Privacy camera,LPDDR5,Yes,No
,,,,128 gigabytes,,None,,,,No,Dolby Audio,3,1.1 gigahertz,,,,,128 gigabytes,,10 hours,,2-core (dual-core),,,3-cell,,,2024-12-05 03:02:16,220 nits,3.08 pounds,,"IdeaPad 1 14"" HD Laptop - Intel Celeron N4020 - 4GB Memory with 128GB eMMC Storage",Yes,1366 x 768 (HD),2,Secure Digital,"1 x USB-A 2.0, 1 x USB-A 3.0, 1 x USB-C 3.0",,N4020,,(95 Reviews),1,0.7 inches,,No,,,Intel,Yes,,Yes,1.1 gigahertz,3735 milliampere hours,,,Intel,,,,AX,220 nits,Microsoft 365 1 Year Subscription,No,128 gigabytes,14 inches,45 percent,14 inches,,,8.52 inches,1.5W x2,,Yes,,,1 year limited,,1 x HDMI 1.4,,,Lithium-polymer,$149.99Your price for this item is $149.99,,1 x HDMI 1.4,,yes,2400 megahertz,Lenovo,,"Lenovo - IdeaPad 1 14"" HD Laptop - Intel Celeron N4020 - 4GB Memory with 128GB eMMC Storage - Abyss Blue",Windows 11 Home in S Mode,,12.81 inches,Intel Celeron,Intel Celeron,,1 year limited,,,1366 x 768 (HD),,,,Lithium-polymer,,,198154418809,Blue,,,No,No,eMMC,No,,4 gigabytes,10 hours,,4 gigabytes,,No,82V6009NUS,,,,"Wi-Fi, Bluetooth",,,eMMC,,Intel UHD Graphics 600,LCD,,,,,,,,,,720p,Yes,https://www.bestbuy.com/site/lenovo-ideapad-1-14-hd-laptop-intel-celeron-n4020-4gb-memory-with-128gb-emmc-storage-abyss-blue/6588658.p?skuId=6588658,,"Amazon Alexa, Google Assistant",Plastic,No,,No,4.5,,,No,,Multi-touch,Abyss Blue,,,Wi-Fi 6,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/dc030349-4df6-43e8-91c3-637f6b64a4f9.jpg;maxHeight=640;maxWidth=550;format=webp,Intel UHD Graphics 600,2024,,,2.8 gigahertz,,,,1,Integrated,Privacy camera,DDR4,Yes,No
,IPS,,,,,None,,,,Yes,,3,3.5 gigahertz,,,,,1000 gigabytes,,9 hours,,10-core,12 megabytes,,3-cell,PCIe,,2024-12-05 03:02:22,220 nits,3.65 pounds,,"Inspiron 15 15.6"" IPS LED FHD Touch Screen Laptop - Intel Core i7 with 16GB Memory - 1TB SSD",Yes,1920 x 1080 (Full HD),12,Secure Digital,"2 x USB-A 3.2, 1 x USB-A 2.0",,1255U,,(156 Reviews),2,0.83 inches,,No,,,Intel,Yes,,Yes,3.5 gigahertz,,,,Intel,,Silver,IPS,,220 nits,Microsoft Office 30-Day Trial,Yes,1000 gigabytes,15.6 inches,,15.6 inches,,,14.11 inches,,60Hz,Yes,,,1 Year Mail In Service,,1 x HDMI 1.4,,1000 gigabytes,Lithium-ion,$749.99Your price for this item is $749.99,,1 x HDMI 1.4,,yes,2666 megahertz,Dell,,"Dell - Inspiron 15 15.6"" IPS LED FHD Touch Screen Laptop - Intel Core i7 with 16GB Memory - 1TB SSD - Carbon Black",Windows 11 Home in S Mode,,9.27 inches,Intel 12th Generation Core i7,Intel 12th Generation Core i7,,1 Year Mail In Service,,,1920 x 1080 (Full HD),,,,Lithium-ion,,,884116430896,Black,60Hz,,No,No,SSD,No,,16 gigabytes,9 hours,,16 gigabytes,,No,i3520-7896BLK-PUS,,,,"Bluetooth, Wi-Fi",,,SSD,No,Intel Iris Xe Graphics,LED,,,,,,,,,,1080p,Yes,https://www.bestbuy.com/site/dell-inspiron-15-15-6-ips-led-fhd-touch-screen-laptop-intel-core-i7-with-16gb-memory-1tb-ssd-carbon-black/6580453.p?skuId=6580453,,,,,,Yes,4.7,,,,L2,Multi-gesture,Carbon Black,,,Wi-Fi 5,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6580/6580453_sd.jpg;maxHeight=640;maxWidth=550;format=webp,Intel Iris Xe Graphics,2024,,2.07 megapixels,4.7 gigahertz,64-bit,,,1,Integrated,,DDR4,Yes,Yes
,IPS,,,,,,,0,,No,Dolby Audio,3,1.2 gigahertz,,,,,256 gigabytes,,6 hours,,6-core,,,3-cell,,,2024-12-05 03:02:27,300 nits,3.52 pounds,,"Lenovo Ideapad 1i 15.6"" FHD Touchscreen Laptop - Intel Core i3-1215U with 8GB Memory - Intel UHD Graphics - 256GB SSD",Yes,1920 x 1080 (Full HD),8,"Secure Digital, MultiMediaCard (MMC)","1 x USB-A 2.0, 1 x USB-C 3.2, 1 x USB-A 3.2",,1215U,,(775 Reviews),1,0.7 inches,,No,65 watts,,Intel,Yes,,Yes,1.2 gigahertz,,,,Intel,,,IPS,AX,300 nits,,Yes,256 gigabytes,15.6 inches,,15.6 inches,,Air,9.29 inches,2 x 1.5W,,Yes,,,1 year,Copilot,1 x HDMI,,256 gigabytes,Lithium-polymer,$329.99Your price for this item is $329.99,1,1 x HDMI,6,yes,3200 megahertz,Lenovo,,"Lenovo Ideapad 1i 15.6"" FHD Touchscreen Laptop - Intel Core i3-1215U with 8GB Memory - Intel UHD Graphics - 256GB SSD - Cloud Gray",Windows 11 Home in S Mode,,14.17 inches,Intel 12th Generation Core i3,Intel 12th Generation Core i3,,1 year,,,1920 x 1080 (Full HD),,,,Lithium-polymer,,,197531458438,Gray,,,No,No,SSD,No,,8 gigabytes,6 hours,,8 gigabytes,,No,82QD00DHUS,0,,,"Wi-Fi, Bluetooth",,,SSD,,Intel UHD Graphics,LCD,,,,,,,,,,720p,Yes,https://www.bestbuy.com/site/lenovo-ideapad-1i-15-6-fhd-touchscreen-laptop-intel-core-i3-1215u-with-8gb-memory-intel-uhd-graphics-256gb-ssd-cloud-gray/6571565.p?skuId=6571565,,,Plastic,,,Yes,4.6,,,,,,Cloud Gray,,,Wi-Fi 6,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6571/6571565_sd.jpg;maxHeight=640;maxWidth=550;format=webp,Intel UHD Graphics,2023,,,4.4 gigahertz,64-bit,,,1,Integrated,,DDR4,No,Yes
,IPS,,,,,None,,,,No,Dolby Audio,3,1.3 gigahertz,,,,,512 gigabytes,,10 hours,,10-core,,,3-cell,,,2024-12-05 03:02:32,300 nits,3.52 pounds,,"IdeaPad 1i 15.6"" FHD Touchscreen Laptop - Intel Core i5 - 8GB Memory with 512GB SSD Storage",Yes,1920 x 1080 (Full HD),12,"Secure Digital, MultiMediaCard (MMC)","1 x USB-A 2.0, 1 x USB-A 3.2, 1 x USB-C 3.2",,1235U,,(18 Reviews),1,0.7 inches,,No,,,Intel,Yes,,Yes,1.3 gigahertz,3735 milliampere hours,,,Intel,,,IPS,AX,300 nits,Microsoft Office 365 (30 Day Trial),Yes,512 gigabytes,15.6 inches,,15.6 inches,,,9.29 inches,2 x 1.5W,,Yes,,,1 year limited,,1 x HDMI 1.4,,512 gigabytes,Lithium-polymer,$399.99Your price for this item is $399.99,,1 x HDMI 1.4,,yes,3200 megahertz,Lenovo,,"Lenovo - IdeaPad 1i 15.6"" FHD Touchscreen Laptop - Intel Core i5 - 8GB Memory with 512GB SSD Storage - Abyss Blue",Windows 11 Home in S Mode,,14.17 inches,Intel 12th Generation Core i5,Intel 12th Generation Core i5,,1 year limited,,,1920 x 1080 (Full HD),,,,Lithium-polymer,,,198154384708,Blue,,,No,No,SSD,No,,8 gigabytes,10 hours,,8 gigabytes,,No,82QD00HMUS,,,,"Wi-Fi, Bluetooth",,,SSD,,Intel Iris Xe Graphics,LCD,,,,,,,,,16 gigabytes,720p,Yes,https://www.bestbuy.com/site/lenovo-ideapad-1i-15-6-fhd-touchscreen-laptop-intel-core-i5-8gb-memory-with-512gb-ssd-storage-abyss-blue/6588661.p?skuId=6588661,,,,,,,4.6,,,,,,Abyss Blue,,,Wi-Fi 6,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/cc1f93aa-41cb-4744-b60b-c6cfa8f50b60.jpg;maxHeight=640;maxWidth=550;format=webp,Intel Iris Xe Graphics,2024,,,4.4 gigahertz,,,,1,Integrated,,DDR4,Yes,Yes
,,,,,,None,,,,Yes,,3,,,,,,512 gigabytes,,10.25 hours,,10-core,,,3-cell,PCIe,,2024-12-05 03:02:37,250 nits,3.52 pounds,,"15.6"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 512GB SSD",,1366 x 768 (HD),,,"2 x USB-A 3.0, 1 x USB-C 3.0",,1235U,,(68 Reviews),,0.73 inches,,,45 watts,,Intel,Yes,,Yes,,10.25 milliampere hours,,,Intel,,Gold,,,250 nits,,Yes,512 gigabytes,15.6 inches,45 percent,15.6 inches,,,14.17 inches,,,Yes,,,1 year,,1 x HDMI 1.4,,512 gigabytes,Lithium-ion polymer,$629.99Your price for this item is $629.99,,1 x HDMI 1.4,,yes,3200 megahertz,HP,,"HP - 15.6"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 512GB SSD - Natural Silver",Windows 11 Home in S Mode,,9.29 inches,Intel 12th Generation Core i5,Intel 12th Generation Core i5,,1 year,,,1366 x 768 (HD),,,,Lithium-ion polymer,,,198415975577,Silver,,,,No,SSD,,,8 gigabytes,10.25 hours,,8 gigabytes,,No,A9PE6UA#ABA,0,,,"Bluetooth, Wi-Fi",,,SSD,,Intel Iris Xe Graphics,LED,,,,,,,,,,720p,Yes,https://www.bestbuy.com/site/hp-15-6-touch-screen-laptop-intel-core-i5-8gb-memory-512gb-ssd-natural-silver/6587788.p?skuId=6587788,,,,,,Yes,4.8,,,,L3,,Natural Silver,,,Wi-Fi 6E,12 megabytes,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5bf12e2f-37bd-42c4-9b60-76b0268a9fe5.jpg;maxHeight=640;maxWidth=550;format=webp,Intel Iris Xe Graphics,2024,,,4.4 gigahertz,,,,1,Integrated,Privacy camera,DDR4,Yes,Yes
No,,,,,,None,,,,Yes,HD Audio with stereo speakers,3,,,,,Not Applicable,512 gigabytes,,12.5 hours,,4-core (quad-core),,,3-cell,,,2024-12-05 03:02:43,250 nits,3.52 pounds,,"15.6"" Touch-Screen Laptop - AMD Ryzen 5 - 8GB Memory - 512GB SSD",No,1366 x 768 (HD),,,"1 x USB-C 3.0, 2 x USB-A 3.0",,7520U,,(345 Reviews),,0.73 inches,,No,45 watts,,AMD,Yes,,Yes,,,,,AMD Radeon,,Gold,,,250 nits,,Yes,512 gigabytes,15.6 inches,45 percent,15.6 inches,,,14.17 inches,,,Yes,,,1 year,Not Applicable,1 x HDMI 1.4,,512 gigabytes,Lithium-ion,$579.99Your price for this item is $579.99,,1 x HDMI 1.4,,yes,5500 megahertz,HP,,"HP - 15.6"" Touch-Screen Laptop - AMD Ryzen 5 - 8GB Memory - 512GB SSD - Natural Silver",Windows 11 Home in S Mode,,9.29 inches,AMD Ryzen 5 7000 Series,AMD Ryzen 5 7000 Series,,1 year,,,1366 x 768 (HD),,,,Lithium-ion,,,197961829044,Silver,,,No,No,SSD,,,8 gigabytes,12.5 hours,,8 gigabytes,,No,9Q1E9UA#ABA,0,,,"Bluetooth, Wi-Fi",,,SSD,,AMD Radeon,LED,,,,,,,No,,,720p,Yes,https://www.bestbuy.com/site/hp-15-6-touch-screen-laptop-amd-ryzen-5-8gb-memory-512gb-ssd-natural-silver/6569668.p?skuId=6569668,,,,,,Yes,4.6,,,,L3,,Natural Silver,,,Wi-Fi 6,4 megabytes,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/d888bea2-f367-4692-b2a3-b534322133b6.jpg;maxHeight=640;maxWidth=550;format=webp,AMD Radeon,2023,,,4.3 gigahertz,,,,1,Integrated,Privacy camera,LPDDR5,Yes,Yes
,,,,64 gigabytes,,None,,,,No,Realtek ALC5682I,3,1.1 gigahertz,,,,,64 gigabytes,,10 hours,,2-core (dual-core),,,3-cell,,,2024-12-05 03:02:49,220 nits,3.586 pounds,,"IdeaPad 3i Chromebook 15.6"" FHD Laptop - Intel Celeron - 4GB Memory with 64GB eMMC Storage",Yes,1920 x 1080 (Full HD),2,microSD,"2 x USB-A 3.2, 1 x USB-C 3.2",,N4500,,(66 Reviews),0,0.75 inches,,No,45 watts,,Intel,Yes,,Yes,1.1 gigahertz,4080 milliampere hours,,,Intel,,,,AX,220 nits,,No,64 gigabytes,15.6 inches,,15.6 inches,,Air,9.57 inches,2 x 2W,,Yes,,,1 year limited,,"1 x HDMI 1.4, Display connection via USB port",,,Lithium-polymer,$119.00Your price for this item is $119.00,,"1 x HDMI 1.4, Display connection via USB port",,yes,2933 megahertz,Lenovo,Google Assistant,"Lenovo - IdeaPad 3i Chromebook 15.6"" FHD Laptop - Intel Celeron - 4GB Memory with 64GB eMMC Storage - Artic Grey",Chrome OS,,14.25 inches,Intel Celeron,Intel Celeron,,1 year limited,,,1920 x 1080 (Full HD),,,,Lithium-polymer,,,198153733804,Gray,,USB-C,No,No,eMMC,No,,4 gigabytes,10 hours,,4 gigabytes,,No,82N4004NUS,,,,"Wi-Fi, Bluetooth",,,eMMC,,Intel UHD Graphics,LCD,,,,,,,,,,720p,Yes,https://www.bestbuy.com/site/lenovo-ideapad-3i-chromebook-15-6-fhd-laptop-intel-celeron-4gb-memory-with-64gb-emmc-storage-artic-grey/6588651.p?skuId=6588651,,,Plastic,,,No,4.6,,,,,,Artic Grey,,,Wi-Fi 6,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/32f98c40-13f4-4b4d-8eca-cbac21263e10.jpg;maxHeight=640;maxWidth=550;format=webp,Intel UHD Graphics,2024,,,2.8 gigahertz,64-bit,,,1,Integrated,Privacy camera,LPDDR4X,Yes,No
