Brand,Laptop_Model_Name,Laptop_Model_Number,Processor_Brand,Processor_Model,Storage_Type,Storage_Capacity(GB),Operating_System,Display_Size(Inches),Display_Resolution,Extracted_Rating,Laptop_Dimensions,Stock,Time_Of_Extraction,URL,Source,Laptop_Weight(Pounds),RAM(GB),Battery_Life(Hours_Upto),Price,No_Of_Reviews
Lenovo,ThinkBook 16 G6,ThinkBook 16 G6 IRL 5,Intel,Core i3,SSD,512,Windows 11 Home,16.0,1920 x 1200 Pixel,4.3,14.02 x 9.98 x 0.69 inches,Yes,2024-11-04 16:26:30,https://www.flipkart.com/lenovo-thinkbook-16-g6-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-irl-5-thin-light-laptop/p/itmd7e1aca8d63e9?pid=COMGZGWUG25DHHWB&lid=LSTCOMGZGWUG25DHHWBIJL9SN&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_1&otracker=browse&fm=organic&iid=en_mzLRU4bQFbzvqkE1HUfb_nDako6pPyrz4mfCw1e0dqhcE4y6Lp_xYnAywYhWTBBZrrVIu9bqQb_Gq2f4RMlc6PUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,3.75,8,9.15,455.88,150.0
Acer,A325-42,A325-42,AMD,Ryzen 5 Hexa Core,SSD,512,Windows 11 Home,15.6,1920 x 1080 Pixel,4.2,14.2 x 9.97 x 0.76 inches,Yes,2024-11-04 16:26:34,https://www.flipkart.com/acer-aspire-3-backlit-amd-ryzen-5-hexa-core-7430u-16-gb-512-gb-ssd-windows-11-home-a325-42-thin-light-laptop/p/itmd22baec179aa3?pid=COMH397XW36HUXB8&lid=LSTCOMH397XW36HUXB8LCSOPU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_2&otracker=browse&fm=organic&iid=en_mzLRU4bQFbzvqkE1HUfb_nDako6pPyrz4mfCw1e0dqiA9JgQ67U-37NvDsIAOLNObs89Rv7vI75ocTe1970S_PUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,3.95,16,,443.88,733.0
ASUS,Vivobook 15,X1504ZA-NJ321WS,Intel,Core i3,SSD,512,Windows 11 Home,15.6,1920 x 1080 pixel,4.3,,Yes,2024-11-04 16:26:37,https://www.flipkart.com/asus-vivobook-15-backlit-keyboard-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj321ws-thin-light-laptop/p/itmbe5bbf6a5168b?pid=COMGT2ZXC24MFNFA&lid=LSTCOMGT2ZXC24MFNFAH8MFND&marketplace=FLIPKART&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=b_1_3&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMGT2ZXC24MFNFA.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,,8,8.0,443.88,8030.0
Acer,A324-51,A324-51,Intel,Core i5,SSD,512,Windows 11 Home,14.0,1920 x 1080 Pixel,4.0,12.67 x 8.13 x 0.76 inches,Yes,2024-11-04 16:26:40,https://www.flipkart.com/acer-aspire-3-backlit-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itm4fa0fcf0e2e15?pid=COMHY24RMZ8PUDTT&lid=LSTCOMHY24RMZ8PUDTT6GAEHA&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_4&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMHY24RMZ8PUDTT.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,3.2,16,,419.88,1669.0
Lenovo,15IAH8,15IAH8,Intel,Core i5,SSD,512,Windows 11 Home,15.6,1920 x 1080 Pixel,4.4,14.15 x 9.25 x 0.7 inches,Yes,2024-11-04 16:26:43,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-12th-gen-12450h-8-gb-512-gb-ssd-windows-11-home-15iah8-thin-light-laptop/p/itm858fd1c034dac?pid=COMH44PGGQEJWKVN&lid=LSTCOMH44PGGQEJWKVNEHM4E2&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_5&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMH44PGGQEJWKVN.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,3.57,8,,557.88,140.0
ASUS,E1504FA-LK323WS,E1504FA-LK323WS,AMD,Ryzen 3 Quad Core,SSD,512,Windows 11 Home,15.6,1920 x 1080 Pixel,4.4,14.19 x 9.15 x 0.7 inches,Yes,2024-11-04 16:26:47,https://www.flipkart.com/asus-vivobook-go-15-oled-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-e1504fa-lk323ws-thin-light-laptop/p/itm5d8313766fc6f?pid=COMGMGXFGF7ZTKHF&lid=LSTCOMGMGXFGF7ZTKHFBG8NVU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_6&otracker=browse&fm=organic&iid=en_mzLRU4bQFbzvqkE1HUfb_nDako6pPyrz4mfCw1e0dqj2AWLg3kCms16zAbhEPAIDWPVkVKv1lr9pvL8pgB4uQfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,3.59,8,,443.88,2970.0
Lenovo,V15 G3 IAP,V15 G3 IAP,Intel,Core i7,SSD,512,Windows 11 Home,15.6,1920 X 1080 Pixel,4.1,14.13 x 9.29 x 0.78 inches,Yes,2024-11-04 16:26:50,https://www.flipkart.com/lenovo-intel-core-i7-12th-gen-1255u-16-gb-512-gb-ssd-windows-11-home-v15-g3-iap-thin-light-laptop/p/itm930d2b10f8362?pid=COMGTVXCHXKNHYY2&lid=LSTCOMGTVXCHXKNHYY2LLFEDL&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_7&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMGTVXCHXKNHYY2.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,3.75,16,5.3,611.88,1187.0
Primebook,PB S Wifi,PB S Wifi,MediaTek,MT8183,eMMC,128,Prime OS,11.6,1366 x 768 Pixel,4.2,11.06 x 7.56 x 0.76 inches,Yes,2024-11-04 16:26:54,https://www.flipkart.com/primebook-s-wifi-mediatek-mt8183-4-gb-128-gb-emmc-storage-prime-os-pb-thin-light-laptop/p/itm04f0a66514c57?pid=COMGTBHFGBTXUGBC&lid=LSTCOMGTBHFGBTXUGBCNKRMWP&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_8&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMGTBHFGBTXUGBC.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,2.35,4,10.0,131.88,1128.0
DELL,Inspiron 3520,Inspiron 3520,Intel,Core i3,SSD,512,Windows 11 Home,15.6,1920 X 1080 Pixel,4.2,14.11 x 0.67 x 9.27 inches,Yes,2024-11-04 16:26:58,https://www.flipkart.com/dell-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-inspiron-3520-thin-light-laptop/p/itm0cdfd7f4e9613?pid=COMGUY2YPKP7NC2P&lid=LSTCOMGUY2YPKP7NC2PHRYVYF&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_9&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMGUY2YPKP7NC2P.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,4.03,8,4.0,407.39,3360.0
ASUS,X1504ZA-NJ521WS|X1504ZA-NJ520WS|X1504ZA-NJ528WS,X1504ZA-NJ521WS|X1504ZA-NJ520WS|X1504ZA-NJ528WS,Intel,Core i5,SSD,512,Windows 11 Home,15.6,1920 x 1080 Pixel,4.2,14.16 x 9.15 x 0.7 inches,Yes,2024-11-04 16:27:01,https://www.flipkart.com/asus-vivobook-15-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj521ws-x1504za-nj520ws-x1504za-nj528ws-thin-light-laptop/p/itmff0e170cb596e?pid=COMHYWSWMFQQBCG3&lid=LSTCOMHYWSWMFQQBCG3ZA9JEY&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_10&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMHYWSWMFQQBCG3.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,3.75,8,,575.88,5020.0
Lenovo,15ALC6,15ACL6 | 15ALC7 2,AMD,Ryzen 5 Hexa Core,SSD,512,Windows 11 Home,,1920 x 1080 pixel,4.2,14.14 x 9.31 x 0.78 inches,Yes,2024-11-04 16:27:05,https://www.flipkart.com/lenovo-ideapad-slim-1-amd-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15acl6-15alc7-2-thin-light-laptop/p/itmfab29c14ba777?pid=COMG9VHHF6HVJPP9&lid=LSTCOMG9VHHF6HVJPP9U213LU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_11&otracker=browse&fm=organic&iid=en_mzLRU4bQFbzvqkE1HUfb_nDako6pPyrz4mfCw1e0dqiRfp7N0bqYxlq7jrmgHSgPbYmVWGNrjT7QVSMeXWNrafUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,,8,11.0,395.88,5349.0
ASUS,E1504FA-NJ521WS,E1504FA-NJ521WS,AMD,Ryzen 5 Quad Core,SSD,2048,Windows 11 Home,15.6,1920 x 1080 Pixel,4.2,,Yes,2024-11-04 16:27:09,https://www.flipkart.com/asus-vivobook-go-15-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-e1504fa-nj521ws-thin-light-laptop/p/itm454b1b37dbe89?pid=COMGNRNUKRMMXNZQ&lid=LSTCOMGNRNUKRMMXNZQPQADWR&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_12&otracker=browse&fm=organic&iid=en_mzLRU4bQFbzvqkE1HUfb_nDako6pPyrz4mfCw1e0dqiCqPESutBNPIJqEHBvS0BQf6_KGHvLgtc9n4gzp-EF96V8WX5krIChubBlraAu4CQ%3D&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,3.59,8,,443.88,1932.0
Lenovo,Ideapad Slim 1,15ALC7,AMD,Ryzen 5 Hexa Core,SSD,512,Windows 11 Home,,1920 x 1080 Pixels,4.2,14.14 x 9.31 x 0.78 inches,Yes,2024-11-04 16:27:13,https://www.flipkart.com/lenovo-ideapad-slim-1-amd-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-15alc7-thin-light-laptop/p/itm4a6035f502270?pid=COMGN2YDSFGGXYG3&lid=LSTCOMGN2YDSFGGXYG3MJBCRU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_13&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMGN2YDSFGGXYG3.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,,16,9.0,458.28,5349.0
SAMSUNG,NP750XGJ-LG4IN,NP750XGJ-LG4IN,Intel,Core i3,SSD,512,Windows 11 Home,15.6,1920 x 1080 Pixel,4.5,14.04 x 9.02 x 0.61 inches,Yes,2024-11-04 16:27:16,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-np750xgj-lg4in-thin-light-laptop/p/itm1ad811a174c21?pid=COMH4Y6KKRC9YSWE&lid=LSTCOMH4Y6KKRC9YSWERDUMZD&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_14&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMH4Y6KKRC9YSWE.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,3.42,8,,455.88,739.0
ASUS,X1504ZA-NJ527WS|X1504ZA-NJ522WS,X1504ZA-NJ527WS|X1504ZA-NJ522WS,Intel,Core i5,SSD,512,Windows 11 Home,15.6,1920 x 1080 Pixel,4.2,14.16 x 9.15 x 0.7 inches,Yes,2024-11-04 16:27:20,https://www.flipkart.com/asus-vivobook-15-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj527ws-x1504za-nj522ws-thin-light-laptop/p/itma8ed81d04b5d4?pid=COMH4Y6KZGGKYCGP&lid=LSTCOMH4Y6KZGGKYCGP6QZMPB&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_15&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMH4Y6KZGGKYCGP.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,3.75,8,,575.88,5020.0
HP,15s-fq5330TU,15s-fq5330TU|15-fd0111TU,Intel,Core i5,SSD,512,Windows 11 Home,,1920 X 1080 Pixel,4.2,14.11 x 9.53 x 0.7 inches,Yes,2024-11-04 16:27:24,https://www.flipkart.com/hp-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-15s-fq5330tu-15-fd0111tu-thin-light-laptop/p/itm5b5f94f7b044c?pid=COMGXNZGJV3MEMWM&lid=LSTCOMGXNZGJV3MEMWMMNYA0K&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_16&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMGXNZGJV3MEMWM.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,3.73,16,,647.88,4726.0
ASUS,FX706HF-NY040W,FX706HF-NY040W,Intel,Core i5,SSD,512,Windows 11 Home,17.3,1920 x 1080 Pixels,4.3,15.71 x 10.59 x 0.92 inches,Yes,2024-11-04 16:27:28,https://www.flipkart.com/asus-tuf-gaming-f17-ai-powered-intel-core-i5-11th-gen-11400h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-70-w-fx706hf-ny040w-laptop/p/itm5b135cad5c8a9?pid=COMHY74JXH3KZRWM&lid=LSTCOMHY74JXH3KZRWMLLMJRL&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_17&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMHY74JXH3KZRWM.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,,16,,695.88,6514.0
Acer,A324-45,A324-45,Intel,Celeron Dual Core,SSD,512,Windows 11 Home,14.0,1366 x 768 Pixel,3.9,14.07 x 8.98 x 0.7 inches,Yes,2024-11-04 16:27:31,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-n4500-8-gb-512-gb-ssd-windows-11-home-a324-45-thin-light-laptop/p/itmbbfe217e40d59?pid=COMHFZYZFVD2MCAB&lid=LSTCOMHFZYZFVD2MCABTLQNKG&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_18&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMHFZYZFVD2MCAB.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,2.87,8,,239.88,1075.0
SAMSUNG,NP750XGJ-KG1IN / NP750XGJ-LG1IN,NP750XGJ-KG1IN / NP750XGJ-LG1IN,Intel,Core i5,SSD,512,Windows 11 Home,15.6,1920 x 1080 Pixel,4.5,,Yes,2024-11-04 16:27:36,https://www.flipkart.com/samsung-galaxy-book4-intel-core-i5-13th-gen-1335u-8-gb-512-gb-ssd-windows-11-home-np750xgj-kg1in-np750xgj-lg1in-thin-light-laptop/p/itm80f6b6ecef780?pid=COMGZUYDFZXHWYWZ&lid=LSTCOMGZUYDFZXHWYWZJ6V2KW&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_19&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMGZUYDFZXHWYWZ.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,3.42,8,,695.88,3084.0
HP,15s-fy5003TU,15s-fy5003TU,Intel,Core i3,SSD,512,Windows 11 Home,,1920 x 1080 Pixel,4.3,,Yes,2024-11-04 16:27:39,https://www.flipkart.com/hp-15s-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-15s-fy5003tu-thin-light-laptop/p/itmbb21e864fb30c?pid=COMGZVGHE9QU8C6M&lid=LSTCOMGZVGHE9QU8C6MHJQTO4&marketplace=FLIPKART&store=6bo%2Fb5g&spotlightTagId=FkPickId_6bo%2Fb5g&srno=b_1_20&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMGZVGHE9QU8C6M.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,3.73,8,,455.88,5515.0
Lenovo,ThinkBook 15 G5,ThinkBook 15 G5,AMD,Ryzen 3 Quad Core,SSD,512,Windows 11 Home,15.6,1920 X 1080 Pixel,4.3,,Yes,2024-11-04 16:27:44,https://www.flipkart.com/lenovo-amd-ryzen-3-quad-core-7330u-8-gb-512-gb-ssd-windows-11-home-thinkbook-15-g5-thin-light-laptop/p/itm65936d217ef8a?pid=COMGT82X9NYWSXQ7&lid=LSTCOMGT82X9NYWSXQ7FXFDP2&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_21&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMGT82X9NYWSXQ7.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,3.75,8,8.8,359.88,444.0
Apple,MacBook Air,MLY33HN/A,Apple,M2,SSD,256,Mac OS Monterey,13.6,2560 x 1664 Pixel,4.7,11.97 x 8.46 x 0.44 inches,Yes,2024-11-04 16:27:48,https://www.flipkart.com/apple-macbook-air-m2-8-gb-256-gb-ssd-mac-os-monterey-mly33hn-a/p/itm0946c05e6335c?pid=COMGFB2GMCRXZG85&lid=LSTCOMGFB2GMCRXZG855GPGWQ&marketplace=FLIPKART&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=b_1_22&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMGFB2GMCRXZG85.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,2.73,8,18.0,1127.88,13603.0
DELL,Inspiron 3520,New Inspiron 15 Laptop | Inspiron 3520,Intel,Core i3,SSD,512,Windows 11 Home,15.6,1920 x 1080 Pixel,4.2,14.09 x 9.25 x 0.83 inches,Yes,2024-11-04 16:27:52,https://www.flipkart.com/dell-inspiron-3520-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-new-15-laptop-thin-light/p/itm108ece6bfe39a?pid=COMGJ75HJGFDJ6JN&lid=LSTCOMGJ75HJGFDJ6JNY5ESSQ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_23&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMGJ75HJGFDJ6JN.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,3.64,8,7.0,413.16,3360.0
Acer,CB314-3H,CB314-3H-C5QE/ CB314-3H-COBZ,Intel,Celeron Dual Core,eMMC,64,Chrome,,1920 X 1080 Pixel,3.7,12.85 x 8.86 x 0.79 inches,Yes,2024-11-04 16:27:55,https://www.flipkart.com/acer-chromebook-intel-celeron-dual-core-n4500-8-gb-64-gb-emmc-storage-chrome-os-cb314-3h-c5qe-cb314-3h-cobz-laptop/p/itm04458b376eefa?pid=COMGSV3GZYUDG6NP&lid=LSTCOMGSV3GZYUDG6NPUATANL&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_24&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMGSV3GZYUDG6NP.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,Flipkart,3.2,8,,155.88,344.0
Lenovo,15ALC6,15ACL6 | 15ALC7 2,AMD,Ryzen 5 Hexa Core,SSD,512,Windows 11 Home,,1920 x 1080 pixel,4.2,14.14 x 9.31 x 0.78 inches,Yes,2024-11-04 16:27:59,https://www.flipkart.com/lenovo-ideapad-slim-1-amd-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15acl6-15alc7-2-thin-light-laptop/p/itmfab29c14ba777?pid=COMG9VHHF6HVJPP9&lid=LSTCOMG9VHHF6HVJPP9U213LU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_25&otracker=browse&fm=organic&iid=c62e55f4-c463-4fa2-b5c9-69aeb195313b.COMG9VHHF6HVJPP9.SEARCH&ppt=None&ppn=None&ssid=k3de9ck3s00000001730660221323,Flipkart,,8,11.0,395.88,5349.0
ASUS,X1504ZA-NJ342WS,X1504ZA-NJ342WS,Intel,Core i3,SSD,512,Windows 11 Home,15.6,1920 x 1080 Pixel,4.3,14.16 x 9.15 x 0.7 inches,Yes,2024-11-04 16:28:04,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-12th-gen-1215u-16-gb-512-gb-ssd-windows-11-home-x1504za-nj342ws-thin-light-laptop/p/itm96c507d630a68?pid=COMH3BKW6EQAZAWC&lid=LSTCOMH3BKW6EQAZAWCJ4JQRL&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_26&otracker=browse&fm=organic&iid=c62e55f4-c463-4fa2-b5c9-69aeb195313b.COMH3BKW6EQAZAWC.SEARCH&ppt=None&ppn=None&ssid=k3de9ck3s00000001730660221323,Flipkart,3.75,16,,491.88,8030.0
