general.model_name,additional_features.pointer_device,processor_and_memory_features.dedicated_graphic_memory_capacity,processor_and_memory_features.dedicated_graphic_memory_type,additional_features.antivirus,display_and_audio_features.internal_mic,port_and_slot_features.usb_port,port_and_slot_features.firewire_port,display_and_audio_features.brightness,processor_and_memory_features.ssd,display_and_audio_features.certification,url,processor_and_memory_features.chipset,port_and_slot_features.hardware_interface,display_and_audio_features.screen_size,dimensions.dimensions,processor_and_memory_features.clock_speed,additional_features.disk_drive,operating_system.system_architecture,additional_features.finger_print_sensor,port_and_slot_features.multi_card_slot,display_and_audio_features.refresh_rate,general.battery_backup,additional_features.additional_features,processor_and_memory_features.cache,general.sales_package,warranty.international_warranty,processor_and_memory_features.memory_slots,additional_features.read/write_speed,port_and_slot_features.hdmi_port,general.inbuilt_4g_lte,processor_and_memory_features.processor_variant,general.series,timestamp,processor_and_memory_features.hdd_capacity,general.part_number,processor_and_memory_features.emmc_storage_capacity,additional_features.recovery_options,processor_and_memory_features.optane_memory,general.tgp,additional_features.security_chip,processor_and_memory_features.ssd_capacity,additional_features.laptop_bag,operating_system.os_architecture,additional_features.included_software,connectivity_features.wireless_lan,processor_and_memory_features.graphic_processor,processor_and_memory_features.rpm,display_and_audio_features.touchscreen,display_and_audio_features.screen_resolution,dimensions.weight,general.ms_office_provided,processor_and_memory_features.processor_name,connectivity_features.bluetooth,price,processor_and_memory_features.expandable_ssd_capacity,port_and_slot_features.mic_in,general.stylus_included,warranty.warranty_summary,connectivity_features.ethernet,review_count,port_and_slot_features.vga_port,warranty.not_covered_in_warranty,rating_average,general.type,operating_system.operating_system,product_title,connectivity_features.nfc_support,processor_and_memory_features.ram_frequency,connectivity_features.wireless_wan,processor_and_memory_features.ram,processor_and_memory_features.storage_type,warranty.warranty_service_type,display_and_audio_features.speakers,warranty.domestic_warranty,processor_and_memory_features.processor_brand,additional_features.keyboard,warranty.covered_in_warranty,display_and_audio_features.screen_type,additional_features.face_recognition,display_and_audio_features.sound_chip,port_and_slot_features.dock_port,processor_and_memory_features.number_of_cores,in_stock,processor_and_memory_features.expandable_memory,operating_system.supported_operating_system,processor_and_memory_features.ufs_storage_capacity,display_and_audio_features.color_gamut,port_and_slot_features.rj11,display_and_audio_features.sound_properties,general.battery_cell,port_and_slot_features.s-video,general.suitable_for,additional_features.other_accessories,processor_and_memory_features.ram_type,general.model_number,general.color,port_and_slot_features.rj45,additional_features.lock_port,additional_features.backlit_keyboard,processor_and_memory_features.processor_generation,general.power_supply,additional_features.web_camera
ThinkBook 16 G6,,,,,Dual array microphone,"1 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1 (Always On), 2 x USB-C 3.2 Gen 2 (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",,,Yes,,https://www.flipkart.com/lenovo-thinkbook-16-g6-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-irl-5-thin-light-laptop/p/itmd7e1aca8d63e9?pid=COMGZGWUG25DHHWB&lid=LSTCOMGZGWUG25DHHWBIJL9SN&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_1&otracker=browse&fm=organic&iid=en_mzLRU4bQFbzvqkE1HUfb_nDako6pPyrz4mfCw1e0dqhcE4y6Lp_xYnAywYhWTBBZrrVIu9bqQb_Gq2f4RMlc6PUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,,,40.64 cm (16 Inch),356 x 253.5 x 17.5 mm,1.2 GHz with Turbo Boost Upto 4.5 GHz,Not Available,,,,,Upto 9.15 Hours,,,"Laptop, User manual, Adapter",,,,1 x HDMI 2.1,,1315U,ThinkBook 16 G6,2024-11-04 16:26:30,,21KHA0J5IN,,,,,,512 GB,,,,"Wi-Fi 6, 802.11ax 2x2 Wi-Fi",Intel Integrated UHD,,No,1920 x 1200 Pixel,1.7 Kg,Yes,Core i3,v5.2,"₹37,990",,,,1 Year Onsite warranty,,150 Ratings & 17 Reviews,,Physical Damage,4.3,Thin and Light Laptop,Windows 11 Home,"Lenovo ThinkBook 16 G6 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) ThinkBook 16 G6 IRL 5 Thin and Light Laptop  (16 Inch, Arctic Grey, 1.7 Kg, With MS Office)",,,,8 GB,SSD,Onsite,Built-in Speakers,,Intel,,Manufacturing Defects,WUXGA IPS Anti-glare Display,,,,,Yes,,,,,,,,,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",,DDR5,ThinkBook 16 G6 IRL 5,Arctic Grey,,,,13th Gen,,"HD 720p, with privacy shutter, fixed focus"
A325-42,,,,,Yes,"3 x USB ports, 2 x Type-C port",,,Yes,,https://www.flipkart.com/acer-aspire-3-backlit-amd-ryzen-5-hexa-core-7430u-16-gb-512-gb-ssd-windows-11-home-a325-42-thin-light-laptop/p/itmd22baec179aa3?pid=COMH397XW36HUXB8&lid=LSTCOMH397XW36HUXB8LCSOPU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_2&otracker=browse&fm=organic&iid=en_mzLRU4bQFbzvqkE1HUfb_nDako6pPyrz4mfCw1e0dqiA9JgQ67U-37NvDsIAOLNObs89Rv7vI75ocTe1970S_PUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,,,39.62 cm (15.6 Inch),360.8 x 253.33 x 19.3 mm,Up to 4.3 GHz,Not Available,,,,,,,,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,,,7430U,Aspire 3 Backlit,2024-11-04 16:26:34,,UN.34QSI.002,,,,,,512 GB,,,,Wifi 6,AMD Radeon AMD,,No,1920 x 1080 Pixel,1.79 Kg,No,Ryzen 5 Hexa Core,v5.1,"₹36,990",,,,1 Year Carry-in Warranty,,733 Ratings & 105 Reviews,,Physical Damage,4.2,Thin and Light Laptop,Windows 11 Home,"Acer Aspire 3 Backlit AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) A325-42 Thin and Light Laptop  (15.6 Inch, Silver, 1.79 Kg)",,,,16 GB,SSD,Carry-in,Two built-in front facing stereo speakers,,AMD,99-/100-/103-key Acer keyboard layout with international language support including indicators of CapsLock and F4/Microphone mute,Manufacturing Defects,Full HD,,,,,Yes,,,,,,,,,Everyday Use,,DDR4,A325-42,Silver,,,,,,Full HD camera
Vivobook 15,,,,,,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",,,Yes,,https://www.flipkart.com/asus-vivobook-15-backlit-keyboard-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj321ws-thin-light-laptop/p/itmbe5bbf6a5168b?pid=COMGT2ZXC24MFNFA&lid=LSTCOMGT2ZXC24MFNFAH8MFND&marketplace=FLIPKART&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=b_1_3&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMGT2ZXC24MFNFA.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,,,39.62 cm (15.6 Inch),,Up to 4.4 GHz,Not Available,,,,,UPTO 8 HRS,,,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,,,1215U,"Vivobook 15, with Backlit Keyboard,",2024-11-04 16:26:37,,90NB1021-M00580,,,,,,512 GB,,,,,Intel Integrated Integrated Intel® UHD Graphics,,No,1920 x 1080 pixel,,Yes,Core i3,YES,"₹36,990",,,,1-year warranty,,"8,030 Ratings & 587 Reviews",,Physical Damage,4.3,Thin and Light Laptop,Windows 11 Home,"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ321WS Thin and Light Laptop  (15.6 Inch, Quiet Blue, With MS Office)",,,,8 GB,SSD,Onsite,,,Intel,,Manufacturing Defects,"Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display",,,,,Yes,,,,,,,,,Travel & Business,,DDR4,X1504ZA-NJ321WS,Quiet Blue,,,,12th Gen,,720p HD camera With privacy shutter
A324-51,Touchpad,,,,Yes,,,,Yes,,https://www.flipkart.com/acer-aspire-3-backlit-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itm4fa0fcf0e2e15?pid=COMHY24RMZ8PUDTT&lid=LSTCOMHY24RMZ8PUDTT6GAEHA&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_4&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMHY24RMZ8PUDTT.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,,,35.56 cm (14 Inch),321.7 x 206.6 x 19.4 mm,Max turbo frequency at 4.4 Ghz,Not Available,,No,,,,,,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,1x HDMI Port,,1235U,Aspire 3 Backlit,2024-11-04 16:26:40,,UN.343SI.003,,,,,,512 GB,,64 bit,,WIFI 6,Intel Integrated Intel Graphics,,No,1920 x 1080 Pixel,1.45 Kg,No,Core i5,v5.2,"₹34,990",,,,1 Year Domestic Warranty,,"1,669 Ratings & 108 Reviews",,Physical Damage,4,Thin and Light Laptop,Windows 11 Home,"Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light Laptop  (14 Inch, Steel Gray, 1.45 Kg)",,,,16 GB,SSD,Onsite,Two built-in stereo speakers,,Intel,84-key Acer backlit keyboard layout with US language,Manufacturing Defects,"Full HD display with IPS (In-Plane Switching) technology, LED-backlit TFT LCD",No,,,,Yes,,,,,,,2 cell,,Everyday Use,,DDR4,A324-51,Steel Gray,,,Yes,12th Gen,65 W,2M With Privacy Camera Shutter
15IAH8,,,,,Yes,"2 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery and DisplayPort 1.2)",,,Yes,,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-12th-gen-12450h-8-gb-512-gb-ssd-windows-11-home-15iah8-thin-light-laptop/p/itm858fd1c034dac?pid=COMH44PGGQEJWKVN&lid=LSTCOMH44PGGQEJWKVNEHM4E2&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_5&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMH44PGGQEJWKVN.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,,,39.62 cm (15.6 Inch),359.3 x 235 x 17.9 mm,Up to 4.4 GHz,Not Available,,,,,,,,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,,,12450H,IdeaPad Slim 3,2024-11-04 16:26:43,,83ER00H3IN,,,,,,512 GB,,,,"Wi-Fi 6, 802.11ax 2x2",Intel Integrated UHD,,No,1920 x 1080 Pixel,1.62 Kg,Yes,Core i5,v5.2,"₹46,490",,,,1 Year Carry-in Warranty,,140 Ratings & 10 Reviews,,Physical Damage,4.4,Thin and Light Laptop,Windows 11 Home,"Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home) 15IAH8 Thin and Light Laptop  (15.6 Inch, Arctic Grey, 1.62 Kg, With MS Office)",,,,8 GB,SSD,Carry-in,Yes,,Intel,"Backlit, English",Manufacturing Defects,"Full HD, IPS 300nits Anti-glare",,,,,Yes,,,,,,,,,Processing & Multitasking,,LPDDR5,15IAH8,Arctic Grey,,,,12th Gen,,FHD 1080p with Privacy Shutter
E1504FA-LK323WS,,,,,Yes,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C",,,Yes,,https://www.flipkart.com/asus-vivobook-go-15-oled-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-e1504fa-lk323ws-thin-light-laptop/p/itm5d8313766fc6f?pid=COMGMGXFGF7ZTKHF&lid=LSTCOMGMGXFGF7ZTKHFBG8NVU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_6&otracker=browse&fm=organic&iid=en_mzLRU4bQFbzvqkE1HUfb_nDako6pPyrz4mfCw1e0dqj2AWLg3kCms16zAbhEPAIDWPVkVKv1lr9pvL8pgB4uQfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,,,39.62 cm (15.6 Inch),360.3 x 232.5 x 17.9 mm,2.4 GHz upto max turbo frequency at 4.1 Ghz,Not Available,,No,,,,,,"Laptop, battery, power adapter, user guide",,,,,,7320U,Vivobook Go 15 OLED,2024-11-04 16:26:47,,90NB0ZR3-M00HZ0,,,,,,512 GB,,,,Wi-Fi 6E(802.11ax) (Dual band) 1*1,AMD Radeon AMD,,No,1920 x 1080 Pixel,1.63 Kg,Yes,Ryzen 3 Quad Core,v5.0,"₹36,990",,,,1 Year Onsite Warranty,,"2,970 Ratings & 322 Reviews",,Physical Damage,4.4,Thin and Light Laptop,Windows 11 Home,"ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK323WS Thin and Light Laptop  (15.6 Inch, Green Grey, 1.63 Kg, With MS Office)",,,,8 GB,SSD,Onsite,Built-in Speakers,1 Year,AMD,Backlit Chiclet Keyboard,Manufacturing Defects,"FHD (1920 x 1080) OLED 16:9 aspect ratio, Glossy display, 0.2ms response time, 600nits HDR peak Brightness, 100% DCI-P3 color gamut, VESA CERTIFIED Display HDR True Black 500, 1.07 billion Color depth, PANTONE Validated, 70% less harmful blue light, TUV Rheinland-certified, 84 % Screen-to-body ratio",,,,,Yes,,,,,,,,,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",,LPDDR5,E1504FA-LK323WS,Green Grey,,,,,,720p HD camera With privacy shutter
V15 G3 IAP,,,,,Yes,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort 1.2)",,,Yes,,https://www.flipkart.com/lenovo-intel-core-i7-12th-gen-1255u-16-gb-512-gb-ssd-windows-11-home-v15-g3-iap-thin-light-laptop/p/itm930d2b10f8362?pid=COMGTVXCHXKNHYY2&lid=LSTCOMGTVXCHXKNHYY2LLFEDL&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_7&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMGTVXCHXKNHYY2.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,,,39.62 cm (15.6 Inch),359 x 236 x 19.9 mm,Max Turbo Frequency upto 4.7GHz,Not Available,,,,,Upto 5.3 Hours,,,"Laptop, User manual, Adapter",,,,,,1255U,,2024-11-04 16:26:50,,82TTA08AIN,,,,,,512 GB,,,,"Wi-Fi 6, 802.11ax 2x2 Wi-Fi",Intel Integrated Iris Xe,,No,1920 X 1080 Pixel,1.7 Kg,No,Core i7,v5.1,"₹50,990",,,,1 Year Onsite Warranty,,"1,187 Ratings & 106 Reviews",,Physical Damage,4.1,Thin and Light Laptop,Windows 11 Home,"Lenovo Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) V15 G3 IAP Thin and Light Laptop  (15.6 Inch, Iron Grey, 1.7 Kg)",,,,16 GB,SSD,Onsite,Yes,,Intel,,Manufacturing Defects,Full HD Anti-glare Display,,,,,Yes,,,,,,,2 Cell,,Processing & Multitasking,,DDR4,V15 G3 IAP,Iron Grey,,,,12th Gen,,"HD 720p, with privacy shutter, fixed focus"
PB S Wifi,,,,,Yes,2 X USB 3.0,,,No,,https://www.flipkart.com/primebook-s-wifi-mediatek-mt8183-4-gb-128-gb-emmc-storage-prime-os-pb-thin-light-laptop/p/itm04f0a66514c57?pid=COMGTBHFGBTXUGBC&lid=LSTCOMGTBHFGBTXUGBCNKRMWP&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_8&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMGTBHFGBTXUGBC.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,,,29.46 cm (11.6 Inch),281 X 192 X 19.3 mm,,Not Available,,,,,Upto 10 Hours,,,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,,,,S Wifi,2024-11-04 16:26:54,,PBMTWIFI11128#006C,128 GB,,,,,,,,,Wifi 5GHz and 2.4 GHz,MediaTek Integrated MT8183,,No,1366 x 768 Pixel,1.065 Kg,No,MT8183,v5.0,"₹10,990",,,,1 Year Pick and Drop Warranty,,"1,128 Ratings & 313 Reviews",,Physical Damage,4.2,Thin and Light Laptop,Prime OS,"Primebook S Wifi MediaTek MT8183 - (4 GB/128 GB EMMC Storage/Prime OS) PB S Wifi Thin and Light Laptop  (11.6 Inch, Royal Black, 1.065 Kg)",,,,4 GB,eMMC,Pick and Drop,Yes,,MediaTek,QWERTY with PrimeOS Special KB Shortcuts,Manufacturing Defects,HD IPS,,,,,Yes,,Based On Android 11,,,,,,,Processing & Multitasking,,LPDDR4,PB S Wifi,Royal Black,,,No,,,In Built 2 MP 30 fps
Inspiron 3520,,,,,Yes,Yes,,,Yes,,https://www.flipkart.com/dell-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-inspiron-3520-thin-light-laptop/p/itm0cdfd7f4e9613?pid=COMGUY2YPKP7NC2P&lid=LSTCOMGUY2YPKP7NC2PHRYVYF&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_9&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMGUY2YPKP7NC2P.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,,,39.62 cm (15.6 Inch),358.50 x 16.96 x 235.56 mm,Up to 4.40 GHz,Not Available,,,,,Upto 4 Hrs,,,"Laptop, User manual, Adaptar",,,,,,1215U,,2024-11-04 16:26:58,,IN3520P9K46001ORB1 / IN3520GHPWW001ORB1,,,,,,512 GB,,,,WiFi 802.11aC,Intel Integrated UHD,,No,1920 X 1080 Pixel,1.83 Kg,Yes,Core i3,v5.1,"₹33,949",,,,1 Year Onsite Warranty,,"3,360 Ratings & 247 Reviews",,Physical Damage,4.2,Thin and Light Laptop,Windows 11 Home,"DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3520 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.83 Kg, With MS Office)",,,,8 GB,SSD,Onsite,Yes,,Intel,Standard Keyboard,Manufacturing Damage,Full HD,,,,,Yes,,,,,,,3 Cell,,Processing & Multitasking,,DDR4,Inspiron 3520,Carbon Black,,,,12th Gen,,Yes
X1504ZA-NJ521WS|X1504ZA-NJ520WS|X1504ZA-NJ528WS,,,,,Yes,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",,,Yes,,https://www.flipkart.com/asus-vivobook-15-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj521ws-x1504za-nj520ws-x1504za-nj528ws-thin-light-laptop/p/itmff0e170cb596e?pid=COMHYWSWMFQQBCG3&lid=LSTCOMHYWSWMFQQBCG3ZA9JEY&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_10&otracker=browse&fm=organic&iid=ccb5703d-c5cd-4978-b595-84776ddb0207.COMHYWSWMFQQBCG3.SEARCH&ppt=None&ppn=None&ssid=sy6yo2t0340000001730660215256,,,39.62 cm (15.6 Inch),359.7 x 232.5 x 17.9 mm,Max turbo frequency at 4.4 Ghz,Not Available,,No,,,,,,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,1 x HDMI 1.4,,1235U,Vivobook 15,2024-11-04 16:27:01,,90NB1021-M00FZ0|90NB1021-M00070,,,,,,512 GB,,,,Wi-Fi 6E(802.11ax) (Dual band) 1*1,Intel Integrated Iris Xe,,No,1920 x 1080 Pixel,1.7 Kg,Yes,Core i5,v5.3,"₹47,990",,,,1 Year Onsite Warranty,,"5,020 Ratings & 259 Reviews",,Physical Damage,4.2,Thin and Light Laptop,Windows 11 Home,"ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ521WS|X1504ZA-NJ520WS|X1504ZA-NJ528WS Thin and Light Laptop  (15.6 Inch, Quiet Blue, 1.7 Kg, With MS Office)",,,,8 GB,SSD,Onsite,Yes,,Intel,Backlit Chiclet Keyboard,Manufacturing Defects,"Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display",No,,,,Yes,,,,,,,3 cell,,Processing & Multitasking,,DDR4,X1504ZA-NJ521WS|X1504ZA-NJ520WS|X1504ZA-NJ528WS,Quiet Blue,,,Yes,12th Gen,,720p HD camera With privacy shutter
