Brand,Laptop_Model_Name,Laptop_Model_Number,Processor_Brand,Processor_Model,Storage_Type,Operating_System,Display_Resolution,Extracted_Rating,Battery_Life(Hours_Upto),Price,Stock,Time_Of_Extraction,URL,Source,Storage_Capacity(GB),Display_Size(Inches),RAM(GB),No_Of_Reviews,Laptop_Dimensions,Laptop_Weight(Pounds),image_src
Dell,Latitude 3540 Laptop,Latitude 3540 Laptop,Intel,Core i7,SSD,Windows 11 Pro,1920x1080 MP,,,1772.95,Yes,11/4/24 18:23,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDkxNTk5NDMzNDA3NDI6MTczMDY3NjY2NTpzcF9hdGZfYnJvd3NlOjMwMDUwMTQ3MTcwNDIwMjo6MDo6&url=%2FDell-Latitude-3540-Laptop-1920x1080%2Fdp%2FB0D7BNFZV3%2Fref%3Dsr_1_625_sspa%3Fdib%3DeyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw%26dib_tag%3Dse%26qid%3D1730676665%26s%3Dpc%26sr%3D1-625-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,Amazon,4000,15.6,64,0,9.44 x 14.13 x 0.71 inches,4.0,
HP,17t-cn3004,17t-cn3004208,Intel,Core i5,SSD,Windows 11 Pro,1600x900 Pixels,5.0,,788.0,Yes,11/4/24 18:23,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDkxNTk5NDMzNDA3NDI6MTczMDY3NjY2NTpzcF9hdGZfYnJvd3NlOjMwMDQxMDU1NTY5MzMwMjo6MDo6&url=%2FHP-Business-Student-i5-1334U-Lifetime%2Fdp%2FB0D8V4X2NK%2Fref%3Dsr_1_626_sspa%3Fdib%3DeyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw%26dib_tag%3Dse%26qid%3D1730676665%26s%3Dpc%26sr%3D1-626-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,Amazon,4096,17.3,64,1,15.78 x 10.15 x 0.81 inches,5.0,
Dell,"Dell Inspiron 15.6"" Touchscreen Laptop",Dell Inspiron Laptop,Intel,Core i7,SSD,Windows 11 Pro,1920x1080 Pixels,,,1099.99,Yes,11/4/24 18:23,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDkxNTk5NDMzNDA3NDI6MTczMDY3NjY2NTpzcF9hdGZfYnJvd3NlOjMwMDQ0NjYyNTU4OTMwMjo6MDo6&url=%2FDell-Inspiron-Touchscreen-Laptop-Microsoft%2Fdp%2FB0C6PTN9GH%2Fref%3Dsr_1_627_sspa%3Fdib%3DeyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw%26dib_tag%3Dse%26qid%3D1730676665%26s%3Dpc%26sr%3D1-627-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,Amazon,4096,15.6,32,0,14.11 x 0.75 x 9.25 inches,3.6,
Apple,MacBook Pro,Mvvm2ll/a,Intel,Core i9,SSD,macOS Cheetah,2560 x 1600 Pixels,4.0,11.0,571.99,Yes,11/4/24 18:23,https://www.amazon.com/2019-Apple-MacBook-16-inch-1TB-SSD-Storage/dp/B08DDB4R6T/ref=sr_1_629?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-629,Amazon,2048,16.0,16,109,11.14 x 2.40 x 15.63 inches,5.68,
HP,TPN-Q279,TPN-Q279,AMD,Ryzen 5,SSD,Windows 11 Home,1920 x 1080 Pixels,3.8,,755.98,Yes,11/4/24 18:23,https://www.amazon.com/HP-i7-1355U-i5-14400F-GeForce-Backlit/dp/B0D9KHZ12S/ref=sr_1_630?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-630,Amazon,2048,15.6,16,7,14.09 x 10.04 x 0.93 inches,7.39,
HP,HP,14-fq1003cl,AMD,Ryzen 3,SSD,Windows,1366 x 768 Pixels,,,704.99,Yes,11/4/24 18:24,https://www.amazon.com/HP-Computer-Touchscreen-Business-Portable/dp/B0DKNM32PQ/ref=sr_1_631?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-631,Amazon,2000,14.0,64,0,12.76 x 8.86 x 0.70 inches,3.11,
ist computers,Lenovo ThinkPad P15v Gen 3,Lenovo ThinkPad P15v Gen 3,Intel,Core i7,SSD,Windows 11 Pro,1920 x 1080 Pixels,4.0,,1299.99,Yes,11/4/24 18:24,https://www.amazon.com/ThinkPad-P15v-Gen-Workstation-Fingerprint/dp/B0CJV4KKJX/ref=sr_1_632?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-632,Amazon,4096,15.6,64,1,14.43 x 9.84 x 0.95 inches,6.0,
Dell,Dell Inspiron Laptop,Dell Inspiron Laptop,Intel,Intel Celeron D,SSD,Windows,1366 x 768 Pixels,4.6,,469.0,Yes,11/4/24 18:24,https://www.amazon.com/Dell-Inspiron-Laptop-Dual-Core-Anti-Glare/dp/B0D7F7QXQM/ref=sr_1_633?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-633,Amazon,2048,15.6,32,10,14.33 x 0.78 x 9.80 inches,3.96,
HP,Newest HP 14 Inch Laptop,Newest HP 14 Inch Laptop,Intel,Celeron N,eMMC,Windows 11 Home,1366 x 768 Pixels,4.2,11.0,289.0,Yes,11/4/24 18:24,https://www.amazon.com/HP-Newest-14-Laptop-HubxcelAccessory/dp/B0CVVJSBKD/ref=sr_1_634?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-634,Amazon,64,14.0,16,73,12.76 x 8.86 x 0.71 inches,3.24,
ASUS,Business Laptop,Business Laptop,Intel,Core i3,SSD,Windows 11 Pro,1920 x 1080 Pixels,3.9,,359.0,Yes,11/4/24 18:24,https://www.amazon.com/ASUS-VivoBook-Laptop-Processor-Bluetooth/dp/B0DB2LR7LM/ref=sr_1_635?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-635,Amazon,2048,14.0,24,24,12.79 x 8.42 x 0.70 inches,5.5,
