Brand,Laptop_Model_Name,Laptop_Model_Number,Processor_Brand,Processor_Model,Storage_Type,Operating_System,Display_Resolution,Extracted_Rating,Battery_Life(Hours_Upto),No_Of_Reviews,Price,Stock,Time_Of_Extraction,URL,Source,Storage_Capacity(GB),RAM(GB),Display_Size(Inches),Laptop_Weight(Pounds),Laptop_Dimensions,image_src
,"15.6"" Full HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB SSD",A9PE7UA#ABA,Intel,Intel 12th Generation Core i7,SSD,Windows 11 Home in S Mode,1920 x 1080 (Full HD),4.6,9.5,(158 Reviews),549.99,yes,2024-12-05 03:01:56,https://www.bestbuy.com/site/15-6-full-hd-touch-screen-laptop-intel-core-i7-16gb-memory-512gb-ssd-natural-silver/6587202.p?skuId=6587202,BestBuy,512,16,15.6,3.52,0.73 x 14.17 x 9.29 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2b810a44-822a-4dd1-ae2d-7243d954e406.jpg;maxHeight=640;maxWidth=550;format=webp
Apple,MacBook Air 13-inch Apple M2 chip Built for Apple Intelligence - 16GB Memory - 256GB SSD,MC7X4LL/A,Apple,Apple M2,SSD,macOS Sequoia 15.1,2560 x 1664,4.9,,(67 Reviews),999.0,yes,2024-12-05 03:02:04,https://www.bestbuy.com/site/apple-macbook-air-13-inch-apple-m2-chip-built-for-apple-intelligence-16gb-memory-256gb-ssd-midnight/6602763.p?skuId=6602763,BestBuy,256,16,13.0,2.73,0.44 x 11.97 x 8.46 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/93d63192-c71c-4a26-8e0c-da261bf863c7.jpg;maxHeight=640;maxWidth=550;format=webp
HP,"15.6"" Chromebook Laptop - Intel Processor N200 - 8GB Memory - 64GB eMMC",7J267UA#ABA,Intel,Intel Processor N200,eMMC,Chrome OS,1366 x 768 (HD),4.6,,(934 Reviews),199.0,yes,2024-12-05 03:02:10,https://www.bestbuy.com/site/hp-15-6-chromebook-laptop-intel-processor-n200-8gb-memory-64gb-emmc-natural-silver/6535992.p?skuId=6535992,BestBuy,64,8,15.6,3.81,0.78 x 14.28 x 9.51 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/9db75164-f0e3-43dd-864f-84a88c16ee56.jpg;maxHeight=640;maxWidth=550;format=webp
Lenovo,"IdeaPad 1 14"" HD Laptop - Intel Celeron N4020 - 4GB Memory with 128GB eMMC Storage",82V6009NUS,Intel,Intel Celeron,eMMC,Windows 11 Home in S Mode,1366 x 768 (HD),4.5,10.0,(95 Reviews),149.99,yes,2024-12-05 03:02:16,https://www.bestbuy.com/site/lenovo-ideapad-1-14-hd-laptop-intel-celeron-n4020-4gb-memory-with-128gb-emmc-storage-abyss-blue/6588658.p?skuId=6588658,BestBuy,128,4,14.0,3.08,0.7 x 8.52 x 12.81 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/dc030349-4df6-43e8-91c3-637f6b64a4f9.jpg;maxHeight=640;maxWidth=550;format=webp
Dell,"Inspiron 15 15.6"" IPS LED FHD Touch Screen Laptop - Intel Core i7 with 16GB Memory - 1TB SSD",i3520-7896BLK-PUS,Intel,Intel 12th Generation Core i7,SSD,Windows 11 Home in S Mode,1920 x 1080 (Full HD),4.7,9.0,(156 Reviews),749.99,yes,2024-12-05 03:02:22,https://www.bestbuy.com/site/dell-inspiron-15-15-6-ips-led-fhd-touch-screen-laptop-intel-core-i7-with-16gb-memory-1tb-ssd-carbon-black/6580453.p?skuId=6580453,BestBuy,1000,16,15.6,3.65,0.83 x 14.11 x 9.27 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6580/6580453_sd.jpg;maxHeight=640;maxWidth=550;format=webp
Lenovo,"Lenovo Ideapad 1i 15.6"" FHD Touchscreen Laptop - Intel Core i3-1215U with 8GB Memory - Intel UHD Graphics - 256GB SSD",82QD00DHUS,Intel,Intel 12th Generation Core i3,SSD,Windows 11 Home in S Mode,1920 x 1080 (Full HD),4.6,6.0,(775 Reviews),329.99,yes,2024-12-05 03:02:27,https://www.bestbuy.com/site/lenovo-ideapad-1i-15-6-fhd-touchscreen-laptop-intel-core-i3-1215u-with-8gb-memory-intel-uhd-graphics-256gb-ssd-cloud-gray/6571565.p?skuId=6571565,BestBuy,256,8,15.6,3.52,0.7 x 9.29 x 14.17 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6571/6571565_sd.jpg;maxHeight=640;maxWidth=550;format=webp
Lenovo,"IdeaPad 1i 15.6"" FHD Touchscreen Laptop - Intel Core i5 - 8GB Memory with 512GB SSD Storage",82QD00HMUS,Intel,Intel 12th Generation Core i5,SSD,Windows 11 Home in S Mode,1920 x 1080 (Full HD),4.6,10.0,(18 Reviews),399.99,yes,2024-12-05 03:02:32,https://www.bestbuy.com/site/lenovo-ideapad-1i-15-6-fhd-touchscreen-laptop-intel-core-i5-8gb-memory-with-512gb-ssd-storage-abyss-blue/6588661.p?skuId=6588661,BestBuy,512,8,15.6,3.52,0.7 x 9.29 x 14.17 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/cc1f93aa-41cb-4744-b60b-c6cfa8f50b60.jpg;maxHeight=640;maxWidth=550;format=webp
HP,"15.6"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 512GB SSD",A9PE6UA#ABA,Intel,Intel 12th Generation Core i5,SSD,Windows 11 Home in S Mode,1366 x 768 (HD),4.8,10.25,(68 Reviews),629.99,yes,2024-12-05 03:02:37,https://www.bestbuy.com/site/hp-15-6-touch-screen-laptop-intel-core-i5-8gb-memory-512gb-ssd-natural-silver/6587788.p?skuId=6587788,BestBuy,512,8,15.6,3.52,0.73 x 14.17 x 9.29 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5bf12e2f-37bd-42c4-9b60-76b0268a9fe5.jpg;maxHeight=640;maxWidth=550;format=webp
HP,"15.6"" Touch-Screen Laptop - AMD Ryzen 5 - 8GB Memory - 512GB SSD",9Q1E9UA#ABA,AMD,AMD Ryzen 5 7000 Series,SSD,Windows 11 Home in S Mode,1366 x 768 (HD),4.6,12.5,(345 Reviews),579.99,yes,2024-12-05 03:02:43,https://www.bestbuy.com/site/hp-15-6-touch-screen-laptop-amd-ryzen-5-8gb-memory-512gb-ssd-natural-silver/6569668.p?skuId=6569668,BestBuy,512,8,15.6,3.52,0.73 x 14.17 x 9.29 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/d888bea2-f367-4692-b2a3-b534322133b6.jpg;maxHeight=640;maxWidth=550;format=webp
Lenovo,"IdeaPad 3i Chromebook 15.6"" FHD Laptop - Intel Celeron - 4GB Memory with 64GB eMMC Storage",82N4004NUS,Intel,Intel Celeron,eMMC,Chrome OS,1920 x 1080 (Full HD),4.6,10.0,(66 Reviews),119.0,yes,2024-12-05 03:02:49,https://www.bestbuy.com/site/lenovo-ideapad-3i-chromebook-15-6-fhd-laptop-intel-celeron-4gb-memory-with-64gb-emmc-storage-artic-grey/6588651.p?skuId=6588651,BestBuy,64,4,15.6,3.586,0.75 x 9.57 x 14.25 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/32f98c40-13f4-4b4d-8eca-cbac21263e10.jpg;maxHeight=640;maxWidth=550;format=webp
