Brand,Laptop_Model_Name,Laptop_Model_Number,Processor_Brand,Processor_Model,Storage_Type,Operating_System,Display_Resolution,Extracted_Rating,Battery_Life(Hours_Upto),Price,Stock,Time_Of_Extraction,URL,Source,Storage_Capacity(GB),Display_Size(Inches),RAM(GB),No_Of_Reviews,Laptop_Dimensions,Laptop_Weight(Pounds),image_src
TPV,AceBook,AceBook_Silver,Intel,Core i5,SSD,Windows 11 Pro,1920 x 1080 Pixels,4.4,5.0,309.99,Yes,2024-12-05 12:15:37,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNTU2ODExODc2NTY2MDA3OjE3MjY5OTc5MTM6c3BfYXRmX2Jyb3dzZTozMDAzMzE1MDUzNjc5MDI6OjA6Og&url=%2FTPV-Computer-Display-Windows-Notebook%2Fdp%2FB0D87RK5Q8%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.Mxv-LfaT1mRTkqi6GWEFXxFggO64cMc5a5WQAxAoDYKDc12AZYR8P_ulvGvs2fWDJ7_Nm3Q_vhpmjYCsv0OJPJs6Bo1FRX66cFxFfjDS5M6onhimzcAeCOZ3ganbR1ztxCB3tNO3H2yyijUubD6xTB3G5UxB2MqPQQaHrdLyLai29xSPy1hZkKf5Sm2MjOm9tSgk53w2mGq_T8vokhTRQYuN1uCwbBymaj5IEXp_6tzKZ-DZ8lOcjCmWHFWVn2fkST3y58q3_y3AxTbeKQumI-hyzZmMa7tonKGyaYVia00.eFMZpiqa4BbfF8ul13G1oFWFR-jOJGFy_-1DtQHxgmY%26dib_tag%3Dse%26qid%3D1726997913%26s%3Dpc%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,Amazon,512,15.6,16,52,14.09 x 8.97 x 0.86 inches,3.63,https://m.media-amazon.com/images/I/818cXcaog9L.__AC_SX300_SY300_QL70_FMwebp_.jpg
HP,Elitebook,660 G11,Intel,Core i7,SSD,Windows 11 Pro,1920 x 1200 Pixels,5.0,,1089.00,Yes,2024-12-05 12:15:41,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNTU2ODExODc2NTY2MDA3OjE3MjY5OTc5MTM6c3BfYXRmX2Jyb3dzZTozMDAzODcyNTQ1NzUwMDI6OjA6Og&url=%2FHP-Elitebook-660-G11-Fingerprint%2Fdp%2FB0DFWDQS11%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.Mxv-LfaT1mRTkqi6GWEFXxFggO64cMc5a5WQAxAoDYKDc12AZYR8P_ulvGvs2fWDJ7_Nm3Q_vhpmjYCsv0OJPJs6Bo1FRX66cFxFfjDS5M6onhimzcAeCOZ3ganbR1ztxCB3tNO3H2yyijUubD6xTB3G5UxB2MqPQQaHrdLyLai29xSPy1hZkKf5Sm2MjOm9tSgk53w2mGq_T8vokhTRQYuN1uCwbBymaj5IEXp_6tzKZ-DZ8lOcjCmWHFWVn2fkST3y58q3_y3AxTbeKQumI-hyzZmMa7tonKGyaYVia00.eFMZpiqa4BbfF8ul13G1oFWFR-jOJGFy_-1DtQHxgmY%26dib_tag%3Dse%26qid%3D1726997913%26s%3Dpc%26sr%3D1-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,Amazon,2048,16.0,32,6,14.14 x 9.20 x 0.78 inches,3.85,https://m.media-amazon.com/images/I/71nSy8Uh8iL.__AC_SX300_SY300_QL70_FMwebp_.jpg
HP,HP Laptop,HP,Intel,Celeron N,SSD,Windows 11 Home,1366 x 768 Pixels,4.1,11.0,265.99,Yes,2024-12-05 12:15:53,https://www.amazon.com/HP-Students-Business-Quad-Core-Storage/dp/B0B2D77YB8/ref=sr_1_6?dib=eyJ2IjoiMSJ9.Mxv-LfaT1mRTkqi6GWEFXxFggO64cMc5a5WQAxAoDYKDc12AZYR8P_ulvGvs2fWDJ7_Nm3Q_vhpmjYCsv0OJPJs6Bo1FRX66cFxFfjDS5M6onhimzcAeCOZ3ganbR1ztxCB3tNO3H2yyijUubD6xTB3G5UxB2MqPQQaHrdLyLai29xSPy1hZkKf5Sm2MjOm9tSgk53w2mGq_T8vokhTRQYuN1uCwbBymaj5IEXp_6tzKZ-DZ8lOcjCmWHFWVn2fkST3y58q3_y3AxTbeKQumI-hyzZmMa7tonKGyaYVia00.eFMZpiqa4BbfF8ul13G1oFWFR-jOJGFy_-1DtQHxgmY&dib_tag=se&qid=1726997913&s=pc&sr=1-6,Amazon,64,14.0,8,878,8.86 x 12.76 x 0.71 inches,3.24,https://m.media-amazon.com/images/I/81divYKpeTL.__AC_SY300_SX300_QL70_FMwebp_.jpg
Lenovo,"Ideapad 1 15"" - 82R400EMUS",82R400EMUS,AMD,AMD Ryzen 5 5500U,SSD,Windows 11 Home,1920x1080 Pixels,4.4,10.0,379.00,Yes,2024-12-05 12:15:57,https://www.amazon.com/Lenovo-IdeaPad-Ryzen5-5500U-1920x1080-Storage/dp/B0CJB5N9BQ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.Mxv-LfaT1mRTkqi6GWEFXxFggO64cMc5a5WQAxAoDYKDc12AZYR8P_ulvGvs2fWDJ7_Nm3Q_vhpmjYCsv0OJPJs6Bo1FRX66cFxFfjDS5M6onhimzcAeCOZ3ganbR1ztxCB3tNO3H2yyijUubD6xTB3G5UxB2MqPQQaHrdLyLai29xSPy1hZkKf5Sm2MjOm9tSgk53w2mGq_T8vokhTRQYuN1uCwbBymaj5IEXp_6tzKZ-DZ8lOcjCmWHFWVn2fkST3y58q3_y3AxTbeKQumI-hyzZmMa7tonKGyaYVia00.eFMZpiqa4BbfF8ul13G1oFWFR-jOJGFy_-1DtQHxgmY&dib_tag=se&qid=1726997913&s=pc&sr=1-7,Amazon,512,15.6,8,639,9.29 x 14.17 x 0.70 inches,3.52,https://m.media-amazon.com/images/I/51h3oOo7XnL.__AC_SX300_SY300_QL70_FMwebp_.jpg
ASUS,Strix G16,G614JV-AS74,Intel,Core i7,SSD,Windows 11 Home,1366 x 768 pixels,4.3,,1267.46,Yes,2024-12-05 12:16:21,https://www.amazon.com/ASUS-ROG-Strix-Gaming-Laptop/dp/B0CRDCXRK2/ref=sr_1_8?dib=eyJ2IjoiMSJ9.Mxv-LfaT1mRTkqi6GWEFXxFggO64cMc5a5WQAxAoDYKDc12AZYR8P_ulvGvs2fWDJ7_Nm3Q_vhpmjYCsv0OJPJs6Bo1FRX66cFxFfjDS5M6onhimzcAeCOZ3ganbR1ztxCB3tNO3H2yyijUubD6xTB3G5UxB2MqPQQaHrdLyLai29xSPy1hZkKf5Sm2MjOm9tSgk53w2mGq_T8vokhTRQYuN1uCwbBymaj5IEXp_6tzKZ-DZ8lOcjCmWHFWVn2fkST3y58q3_y3AxTbeKQumI-hyzZmMa7tonKGyaYVia00.eFMZpiqa4BbfF8ul13G1oFWFR-jOJGFy_-1DtQHxgmY&dib_tag=se&qid=1726997913&s=pc&sr=1-8,Amazon,2048,16.0,16,473,13.94 x 0.89 x 10.39 inches,5.51,https://m.media-amazon.com/images/I/81GrCeuCzxL.__AC_SY300_SX300_QL70_FMwebp_.jpg
HP,G10,255,Intel,Ryzen 3,SSD,Windows 11 Pro,1920x1080 Pixels,4.2,,499.99,Yes,2024-12-05 12:16:33,https://www.amazon.com/HP-255-i5-1135G7-Ethernet-Business/dp/B0DCSYTVDD/ref=sr_1_11?dib=eyJ2IjoiMSJ9.Mxv-LfaT1mRTkqi6GWEFXxFggO64cMc5a5WQAxAoDYKDc12AZYR8P_ulvGvs2fWDJ7_Nm3Q_vhpmjYCsv0OJPJs6Bo1FRX66cFxFfjDS5M6onhimzcAeCOZ3ganbR1ztxCB3tNO3H2yyijUubD6xTB3G5UxB2MqPQQaHrdLyLai29xSPy1hZkKf5Sm2MjOm9tSgk53w2mGq_T8vokhTRQYuN1uCwbBymaj5IEXp_6tzKZ-DZ8lOcjCmWHFWVn2fkST3y58q3_y3AxTbeKQumI-hyzZmMa7tonKGyaYVia00.eFMZpiqa4BbfF8ul13G1oFWFR-jOJGFy_-1DtQHxgmY&dib_tag=se&qid=1726997913&s=pc&sr=1-11,Amazon,2048,15.6,16,141,15.78 x 10.15 x 0.78 inches,5.0,https://m.media-amazon.com/images/I/71HYs8c4e-L.__AC_SX300_SY300_QL70_FMwebp_.jpg
Acer,Nitro V,ANV15-51-51H9,Intel,Core i5,SSD,Windows 11 Home,1920x1080,4.4,,769.99,Yes,2024-12-05 12:16:45,https://www.amazon.com/i5-13420H-Processor-GeForce-Display-ANV15-51-51H9/dp/B0CP8D4SM2/ref=sr_1_12?dib=eyJ2IjoiMSJ9.Mxv-LfaT1mRTkqi6GWEFXxFggO64cMc5a5WQAxAoDYKDc12AZYR8P_ulvGvs2fWDJ7_Nm3Q_vhpmjYCsv0OJPJs6Bo1FRX66cFxFfjDS5M6onhimzcAeCOZ3ganbR1ztxCB3tNO3H2yyijUubD6xTB3G5UxB2MqPQQaHrdLyLai29xSPy1hZkKf5Sm2MjOm9tSgk53w2mGq_T8vokhTRQYuN1uCwbBymaj5IEXp_6tzKZ-DZ8lOcjCmWHFWVn2fkST3y58q3_y3AxTbeKQumI-hyzZmMa7tonKGyaYVia00.eFMZpiqa4BbfF8ul13G1oFWFR-jOJGFy_-1DtQHxgmY&dib_tag=se&qid=1726997913&s=pc&sr=1-12,Amazon,512,15.6,8,203,14.26 x 0.93 x 9.44 inches,4.66,https://m.media-amazon.com/images/I/71F-Wcriq4L.__AC_SY300_SX300_QL70_FMwebp_.jpg
Lenovo,ThinkBook 16 G4+ IAP,ThinkBook 16 G4+ IAP,Intel,Intel Mobile CPU,SSD,Windows 11 Pro,1920 x 1200 Pixels,4.6,,799.00,Yes,2024-12-05 12:16:50,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNTU2ODExODc2NTY2MDA3OjE3MjY5OTc5MTM6c3BfbXRmX2Jyb3dzZTozMDAzNTc1MDUyNDMyMDI6OjA6Og&url=%2FLenovo-ThinkBook-16-Business-Warranty%2Fdp%2FB0DCP75HZ7%2Fref%3Dsr_1_13_sspa%3Fdib%3DeyJ2IjoiMSJ9.Mxv-LfaT1mRTkqi6GWEFXxFggO64cMc5a5WQAxAoDYKDc12AZYR8P_ulvGvs2fWDJ7_Nm3Q_vhpmjYCsv0OJPJs6Bo1FRX66cFxFfjDS5M6onhimzcAeCOZ3ganbR1ztxCB3tNO3H2yyijUubD6xTB3G5UxB2MqPQQaHrdLyLai29xSPy1hZkKf5Sm2MjOm9tSgk53w2mGq_T8vokhTRQYuN1uCwbBymaj5IEXp_6tzKZ-DZ8lOcjCmWHFWVn2fkST3y58q3_y3AxTbeKQumI-hyzZmMa7tonKGyaYVia00.eFMZpiqa4BbfF8ul13G1oFWFR-jOJGFy_-1DtQHxgmY%26dib_tag%3Dse%26qid%3D1726997913%26s%3Dpc%26sr%3D1-13-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Amazon,512,16.0,16,3,14.01 x 9.98 x 0.69 inches,3.8,https://m.media-amazon.com/images/I/71i0qjnAhqL.__AC_SX300_SY300_QL70_FMwebp_.jpg
HP,TPN-I139_767K9AV,TPN-I139_767K9AV,Intel,Core i5,SSD,Windows 11 Home,1600 x 900 Pixels,5.0,,706.11,Yes,2024-12-05 12:16:53,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNTU2ODExODc2NTY2MDA3OjE3MjY5OTc5MTM6c3BfbXRmX2Jyb3dzZTozMDAyODg1NDU2MDMzMDI6OjA6Og&url=%2FHP-Premium-Touchscreen-i5-1335U-Backlit%2Fdp%2FB0CKJ552PH%2Fref%3Dsr_1_14_sspa%3Fdib%3DeyJ2IjoiMSJ9.Mxv-LfaT1mRTkqi6GWEFXxFggO64cMc5a5WQAxAoDYKDc12AZYR8P_ulvGvs2fWDJ7_Nm3Q_vhpmjYCsv0OJPJs6Bo1FRX66cFxFfjDS5M6onhimzcAeCOZ3ganbR1ztxCB3tNO3H2yyijUubD6xTB3G5UxB2MqPQQaHrdLyLai29xSPy1hZkKf5Sm2MjOm9tSgk53w2mGq_T8vokhTRQYuN1uCwbBymaj5IEXp_6tzKZ-DZ8lOcjCmWHFWVn2fkST3y58q3_y3AxTbeKQumI-hyzZmMa7tonKGyaYVia00.eFMZpiqa4BbfF8ul13G1oFWFR-jOJGFy_-1DtQHxgmY%26dib_tag%3Dse%26qid%3D1726997913%26s%3Dpc%26sr%3D1-14-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Amazon,2048,17.3,32,6,15.78 x 10.15 x 0.81 inches,4.6,https://m.media-amazon.com/images/I/611dsCsxGmL.__AC_SX300_SY300_QL70_FMwebp_.jpg
Lenovo,ThinkPad,E16,AMD,Ryzen 5,SSD,Windows 11 Pro,1920 x 1200 Pixels,4.6,,959.00,Yes,2024-12-05 12:16:57,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNTU2ODExODc2NTY2MDA3OjE3MjY5OTc5MTM6c3BfbXRmX2Jyb3dzZTozMDA0MTM2MDUwMjkwMDI6OjA6Og&url=%2FLenovo-ThinkPad-E16-Thunderbolt-Fingerprint%2Fdp%2FB0DGPTHM3Q%2Fref%3Dsr_1_15_sspa%3Fdib%3DeyJ2IjoiMSJ9.Mxv-LfaT1mRTkqi6GWEFXxFggO64cMc5a5WQAxAoDYKDc12AZYR8P_ulvGvs2fWDJ7_Nm3Q_vhpmjYCsv0OJPJs6Bo1FRX66cFxFfjDS5M6onhimzcAeCOZ3ganbR1ztxCB3tNO3H2yyijUubD6xTB3G5UxB2MqPQQaHrdLyLai29xSPy1hZkKf5Sm2MjOm9tSgk53w2mGq_T8vokhTRQYuN1uCwbBymaj5IEXp_6tzKZ-DZ8lOcjCmWHFWVn2fkST3y58q3_y3AxTbeKQumI-hyzZmMa7tonKGyaYVia00.eFMZpiqa4BbfF8ul13G1oFWFR-jOJGFy_-1DtQHxgmY%26dib_tag%3Dse%26qid%3D1726997913%26s%3Dpc%26sr%3D1-15-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Amazon,2048,16.0,40,13,14.02 x 9.75 x 0.78 inches,3.9,https://m.media-amazon.com/images/I/71B7U-n581L.__AC_SX300_SY300_QL70_FMwebp_.jpg
