Laptop_Brand,Laptop_Name,Processor_Company,Operating_System,Processor,Number_of_Reviews,Price,Storage_Type,Rating,Screen_Size,RAM,Source
ZHAOHUIXIN,PC1068,Alwinner,Android,1.8 GHz a13,1,119.99,EMMC,4.5,10.1,2,Amazon
TPV,AceBook,Intel,Windows 11 Pro,Core i5,13,309.99,SSD,4.5,15.6,16,Amazon
HP,Elitebook,Intel,Windows 11 Pro,Intel Core i7,5,1079.0,SSD,4.0,16.0,32,Amazon
Apple,MacBook Air,Apple,Mac OS,Apple M3,0,929.0,SSD,4.0,13.6,8,Amazon
Apple,MacBook Air,Apple,Mac OS,Apple M3,0,1449.0,SSD,4.0,15.3,16,Amazon
HP,HP Laptop,Intel,Windows 11 Home,Celeron N,905,246.99,SSD,4.5,14.0,8,Amazon
Lenovo,"Ideapad 1 15"" - 82R400EMUS",AMD,Windows 11 Home,AMD Ryzen 5 5500U,485,399.99,SSD,4.3,15.6,8,Amazon
ASUS,Strix G16,Intel,Windows 11 Home,Core i7,331,1282.76,SSD,4.0,16.0,16,Amazon
HP,255 G10,AMD,Windows 11 Pro,Ryzen 3,50,449.99,SSD,4.5,15.6,16,Amazon
acer,Nitro V,Intel,Windows 11 Home,Intel Core i5,55,759.54,SSD,4.3,15.6,8,Amazon
Lenovo,ThinkBook 16 G4+ IAP,Intel,Windows 11 Pro,Intel Mobile CPU,0,799.0,SSD,4.5,16.0,16,Amazon
HP,TPN-I139_767K9AV,Intel,Windows 11 Home,Core i5 Family,5,795.63,SSD,4.3,17.3,32,Amazon
Lenovo,ThinkPad,AMD,Windows 11 Pro,Ryzen 5,11,899.0,SSD,4.3,16.0,40,Amazon
HP,14-dq0040nr,Intel,Windows 11 S,Celeron N4020,712,177.89,SSD,4.4,14.0,4,Amazon
Apple,MacBook Pro,Apple,Mac OS,Apple M3,0,1299.0,SSD,4.0,14.2,8,Amazon
HP,TPN-I139_320M3AV,Intel,Windows 11 Pro,Core i3 Family,345,472.74,SSD,4.4,17.3,32,Amazon
HP,Chromebook 14a-na0226nr,Intel,Chrome OS,Celeron,747,199.99,SSD,4.4,14.0,4,Amazon
Lenovo,IdeaPad 1 15IJL7,Intel,Windows 11 Home,Celeron,693,389.0,SSD,4.3,15.6,20,Amazon
Apple,MacBook Air,Intel,macOS 10.12 Sierra,Core i5,882,174.99,SSD,4.5,13.3,8,Amazon
acer,Laptop,AMD,Windows 11 S,Ryzen 3,179,299.99,SSD,4.6,15.6,8,Amazon
Lenovo,Newest Flagship Lenovo Chromebook,MediaTek,Chrome OS,Cortex,425,203.98,EMMC,4.5,14.0,4,Amazon
HP,TPN-Q222,Intel,Windows 11 Home,Core i3 Family,63,439.97,SSD,4.5,15.6,32,Amazon
Dell,Dell Inspiron,Intel,Windows 11 Pro,Core i5,140,483.99,SSD,4.4,15.6,16,Amazon
Apple,MacBook Air,Apple,Mac OS,Apple M1,153,446.49,SSD,4.4,13.3,8,Amazon
Apple,MacBook Pro,Apple,Mac OS,Apple M3 Max,0,2999.0,SSD,4.0,16.2,36,Amazon
MSI,Thin 15 B12VE-2023US,Intel,Windows 11 Home,Intel Core i7,822,899.99,SSD,4.3,15.6,16,Amazon
acer,Nitro V,Intel,Windows 11 Home,Intel Core i7,305,839.0,SSD,4.3,15.6,16,Amazon
HP,TPN-Q287,AMD,Windows 11 Pro,Ryzen 7,21,575.1,SSD,4.4,15.6,16,Amazon
Lenovo,ThinkPad,Intel,Windows 11 Pro,Intel Core i5,14,1269.0,SSD,4.0,16.0,40,Amazon
Lenovo,ThinkPad,Intel,Windows 11 Pro,Intel Core i5,22,989.0,SSD,4.1,16.0,40,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,A13,1,119.99,EMMC,4.4,10.1,2,Amazon
TPV,AceBook,Intel,Windows 11 Pro,Core i5,13,309.99,SSD,4.5,15.6,16,Amazon
Zuleisy,VB16,Intel,Windows 11,Intel Mobile CPU,2,399.99,SSD,4.5,16.0,16,Amazon
HP,HP Newest Flagship LAPTOP,Intel,Windows 11 Pro,Core i3,22,599.98,SSD,4.4,15.6,40,Amazon
Lenovo,IdeaPad 3,Intel,Chrome OS,Celeron P4500,300,260.0,EMMC,4.6,15.6,8,Amazon
Lenovo,Lenovo V15 G2 ALC,AMD,Windows 11 Pro,Ryzen 5,422,489.0,SSD,4.4,15.6,16,Amazon
Lenovo,V15,Intel,Windows 11 Pro,Celeron,315,499.0,SSD,4.4,15.6,16,Amazon
acer,Aspire Go 15,Intel,Windows 11 S,Intel Core i3,171,279.99,SSD,4.4,15.6,8,Amazon
