Laptop_Brand,Laptop_Name,Processor_Company,Processor,Operating_System,RAM,Storage,Storage_Type,Screen_Size,Rating,Number_of_Reviews,Price,Source
ASUS,Vivobook 15,Intel,Core i3 12th Gen,Windows 11,8,512,SSD,12.0,4.3,430.0,36990.0,Flipkart
DELL,Vos,Intel,Core i5 13th Gen 1334U,Windows 11,8,512,SSD,13.0,3.4,0.0,49990.0,Flipkart
Acer,Swift Go 14 EVO OLED,Intel,Core i5 13th Gen 13500H,Windows 11,16,512,SSD,13.0,4.3,265.0,59990.0,Flipkart
HP,HP,Intel,Core i5 12th Gen 1235U,Windows 11,16,512,SSD,12.0,4.2,181.0,53990.0,Flipkart
Acer,Aspire 3,Intel,Core i3 12th Gen 1215U,Windows 11,8,512,SSD,12.0,4.2,77.0,29990.0,Flipkart
MSI,Crosshair 16 HX,Intel,Core i7 14th Gen 14700HX,Windows 11,16,1024,SSD,14.0,0.0,0.0,140990.0,Flipkart
Apple,MacBook AIR Apple,M2,,Mac OS,8,256,SSD,11.0,4.7,639.0,84990.0,Flipkart
Acer,One,Intel,Core i3 11th Gen 1115G4,Windows 11,8,512,SSD,11.0,4.2,764.0,28990.0,Flipkart
HP,15s,AMD,Ryzen 3 Quad Core 5300U,Windows 11,8,512,SSD,12.0,4.2,418.0,32490.0,Flipkart
HP,15s,Intel,Core i3 12th Gen 1215U,Windows 11,8,512,SSD,12.0,4.3,286.0,34990.0,Flipkart
SAMSUNG,Galaxy Book4 Metal,Intel,Core i3 13th Gen 1315U,Windows 11,8,512,SSD,13.0,4.6,23.0,40990.0,Flipkart
Acer,Aspire 7,Intel,Core i5 13th Gen 13420H,Windows 11,16,512,SSD,13.0,4.3,4.0,67990.0,Flipkart
ASUS,Vivobook 15,Intel,Core i5 12th Gen 1235U,Windows 11,8,512,SSD,12.0,4.2,162.0,47990.0,Flipkart
ASUS,Vivobook 15,Intel,Core i5 12th Gen 1235U,Windows 11,8,512,SSD,12.0,4.2,162.0,47990.0,Flipkart
Acer,Aspire 7,Intel,Core i5 13th Gen 13420H,Windows 11,16,512,SSD,13.0,4.4,8.0,61990.0,Flipkart
SAMSUNG,Galaxy Book4,Intel,Core i5 13th Gen 1335U,Windows 11,16,512,SSD,13.0,4.5,140.0,61990.0,Flipkart
DELL,Inspiron 3520,Intel,Core i3 12th Gen 1215U,Windows 11,8,512,SSD,12.0,4.2,210.0,35990.0,Flipkart
HP,Backlit,Intel,Core i5 12th Gen 1235U,Windows 11,8,512,SSD,12.0,4.2,181.0,49990.0,Flipkart
Lenovo,Chromebook MediaTek Kompanio 520,Chromebook,MediaTek Kompanio 520,Chrome,8,128,EMMC,52.0,3.7,14.0,23850.0,Flipkart
Apple,MacBook AIR Apple,M2,,Mac OS,8,256,SSD,11.0,4.7,639.0,84990.0,Flipkart
Acer,Aspire 3 Backlit,AMD,Ryzen 5 Hexa Core 7430U,Windows 11,16,512,SSD,16.0,4.3,20.0,36990.0,Flipkart
ASUS,TUF Gaming A15,AMD,Ryzen 7 Octa Core 7435HS,Windows 11,16,512,SSD,16.0,4.5,9.0,71990.0,Flipkart
MSI,Modern 14,Intel,Core i3 12th Gen 1215U,Windows 11,16,512,SSD,12.0,4.3,105.0,32990.0,Flipkart
Acer,Aspire 3 Backlit,Intel,Core i5 12th Gen 1235U,Windows 11,16,512,SSD,12.0,4.0,45.0,42990.0,Flipkart
ASUS,Vivobook 15,Intel,Core i3 12th Gen,Windows 11,8,512,SSD,12.0,4.3,430.0,36990.0,Flipkart
Acer,Swift Go 14 EVO OLED,Intel,Core i5 13th Gen 13500H,Windows 11,16,512,SSD,13.0,4.3,265.0,59990.0,Flipkart
HP,HP,Intel,Core i5 12th Gen 1235U,Windows 11,16,512,SSD,12.0,4.2,181.0,53990.0,Flipkart
Acer,Aspire 3,Intel,Core i3 12th Gen 1215U,Windows 11,8,512,SSD,12.0,4.2,77.0,29990.0,Flipkart
Apple,MacBook AIR Apple,M2,,Mac OS,8,256,SSD,11.0,4.7,639.0,84990.0,Flipkart
DELL,Vos,Intel,Core i5 13th Gen 1334U,Windows 11,8,512,SSD,13.0,3.4,0.0,49990.0,Flipkart
Acer,One,Intel,Core i3 11th Gen 1115G4,Windows 11,8,512,SSD,11.0,4.2,764.0,28990.0,Flipkart
HP,15s,AMD,Ryzen 3 Quad Core 5300U,Windows 11,8,512,SSD,12.0,4.2,418.0,32490.0,Flipkart
HP,15s,Intel,Core i3 12th Gen 1215U,Windows 11,8,512,SSD,12.0,4.3,286.0,34990.0,Flipkart
ASUS,Vivobook 15,Intel,Core i5 12th Gen 1235U,Windows 11,8,512,SSD,12.0,4.2,162.0,47990.0,Flipkart
MSI,Crosshair 16 HX,Intel,Core i7 14th Gen 14700HX,Windows 11,16,1024,SSD,14.0,0.0,0.0,140990.0,Flipkart
SAMSUNG,Galaxy Book4 Metal,Intel,Core i3 13th Gen 1315U,Windows 11,8,512,SSD,13.0,4.6,23.0,40990.0,Flipkart
ASUS,Vivobook 15,Intel,Core i5 12th Gen 1235U,Windows 11,8,512,SSD,12.0,4.2,162.0,47990.0,Flipkart
Acer,Aspire 7,Intel,Core i5 13th Gen 13420H,Windows 11,16,512,SSD,13.0,4.4,8.0,61990.0,Flipkart
SAMSUNG,Galaxy Book4,Intel,Core i5 13th Gen 1335U,Windows 11,16,512,SSD,13.0,4.5,140.0,61990.0,Flipkart
Lenovo,Chromebook MediaTek Kompanio 520,Chromebook,MediaTek Kompanio 520,Chrome,8,128,EMMC,52.0,3.7,14.0,23850.0,Flipkart
Acer,Aspire 7,Intel,Core i5 13th Gen 13420H,Windows 11,16,512,SSD,13.0,4.3,4.0,67990.0,Flipkart
DELL,Inspiron 3520,Intel,Core i3 12th Gen 1215U,Windows 11,8,512,SSD,12.0,4.2,210.0,35990.0,Flipkart
Apple,MacBook AIR Apple,M2,,Mac OS,8,256,SSD,11.0,4.7,639.0,84990.0,Flipkart
MSI,Modern 14,Intel,Core i3 12th Gen 1215U,Windows 11,16,512,SSD,12.0,4.3,105.0,32990.0,Flipkart
HP,Backlit,Intel,Core i5 12th Gen 1235U,Windows 11,8,512,SSD,12.0,4.2,181.0,49990.0,Flipkart
Acer,Aspire 3 Backlit,AMD,Ryzen 5 Hexa Core 7430U,Windows 11,16,512,SSD,16.0,4.3,20.0,36990.0,Flipkart
Acer,Aspire 3 Backlit,Intel,Core i5 12th Gen 1235U,Windows 11,16,512,SSD,12.0,4.0,45.0,42990.0,Flipkart
MSI,Modern 15,AMD,Ryzen 5 Hexa Core 7530U,Windows 11,16,512,SSD,16.0,4.4,279.0,44990.0,Flipkart
ASUS,Vivobook 15,Intel,Core i3 12th Gen,Windows 11,8,512,SSD,12.0,4.3,430.0,36990.0,Flipkart
ASUS,Vivobook 15,Intel,Core i5 12th Gen 1235U,Windows 11,8,512,SSD,12.0,4.2,162.0,47990.0,Flipkart
Acer,Swift Go 14 EVO OLED,Intel,Core i5 13th Gen 13500H,Windows 11,16,512,SSD,13.0,4.3,265.0,59990.0,Flipkart
HP,HP,Intel,Core i5 12th Gen 1235U,Windows 11,16,512,SSD,12.0,4.2,181.0,53990.0,Flipkart
Acer,Aspire 3,Intel,Core i3 12th Gen 1215U,Windows 11,8,512,SSD,12.0,4.2,77.0,29990.0,Flipkart
DELL,Vos,Intel,Core i5 13th Gen 1334U,Windows 11,8,512,SSD,13.0,3.4,0.0,49990.0,Flipkart
