Laptop_Brand,Laptop_Name,Processor_Company,Operating_System,Processor,Number_of_Reviews,Price,Storage_Type,Storage,Rating,Screen_Size,RAM,Source
ZHAOHUIXIN,PC1068,Alwinner,Android,1.8 GHz a13,1.0,119.99,EMMC,64,4.5,10.1,2,Amazon
TPV,AceBook,Intel,Windows 11 Pro,Core i5,13.0,309.99,SSD,512,4.5,15.6,16,Amazon
HP,Elitebook,Intel,Windows 11 Pro,Intel Core i7,5.0,1079.0,SSD,2048,4.0,16.0,32,Amazon
Apple,MacBook Air,Apple,Mac OS,Apple M3,0.0,929.0,SSD,256,4.0,13.6,8,Amazon
Apple,MacBook Air,Apple,Mac OS,Apple M3,0.0,1449.0,SSD,512,4.0,15.3,16,Amazon
HP,HP Laptop,Intel,Windows 11 Home,Celeron N,905.0,246.99,SSD,64,4.5,14.0,8,Amazon
Lenovo,"Ideapad 1 15"" - 82R400EMUS",AMD,Windows 11 Home,AMD Ryzen 5 5500U,485.0,399.99,SSD,512,4.3,15.6,8,Amazon
ASUS,Strix G16,Intel,Windows 11 Home,Core i7,331.0,1282.76,SSD,2048,4.0,16.0,16,Amazon
HP,255 G10,AMD,Windows 11 Pro,Ryzen 3,50.0,449.99,SSD,2048,4.5,15.6,16,Amazon
acer,Nitro V,Intel,Windows 11 Home,Intel Core i5,55.0,759.54,SSD,512,4.3,15.6,8,Amazon
Lenovo,ThinkBook 16 G4+ IAP,Intel,Windows 11 Pro,Intel Mobile CPU,0.0,799.0,SSD,512,4.5,16.0,16,Amazon
HP,TPN-I139_767K9AV,Intel,Windows 11 Home,Core i5 Family,5.0,795.63,SSD,2048,4.3,17.3,32,Amazon
Lenovo,ThinkPad,AMD,Windows 11 Pro,Ryzen 5,11.0,899.0,SSD,2048,4.3,16.0,40,Amazon
HP,14-dq0040nr,Intel,Windows 11 S,Celeron N4020,712.0,177.89,SSD,64,4.4,14.0,4,Amazon
Apple,MacBook Pro,Apple,Mac OS,Apple M3,0.0,1299.0,SSD,512,4.0,14.2,8,Amazon
HP,TPN-I139_320M3AV,Intel,Windows 11 Pro,Core i3 Family,345.0,472.74,SSD,2048,4.4,17.3,32,Amazon
HP,Chromebook 14a-na0226nr,Intel,Chrome OS,Celeron,747.0,199.99,SSD,64,4.4,14.0,4,Amazon
Lenovo,IdeaPad 1 15IJL7,Intel,Windows 11 Home,Celeron,693.0,389.0,SSD,2048,4.3,15.6,20,Amazon
Apple,MacBook Air,Intel,macOS 10.12 Sierra,Core i5,882.0,174.99,SSD,128,4.5,13.3,8,Amazon
acer,Laptop,AMD,Windows 11 S,Ryzen 3,179.0,299.99,SSD,128,4.6,15.6,8,Amazon
Lenovo,Newest Flagship Lenovo Chromebook,MediaTek,Chrome OS,Cortex,425.0,203.98,EMMC,64,4.5,14.0,4,Amazon
HP,TPN-Q222,Intel,Windows 11 Home,Core i3 Family,63.0,439.97,SSD,2048,4.5,15.6,32,Amazon
Dell,Dell Inspiron,Intel,Windows 11 Pro,Core i5,140.0,483.99,SSD,2048,4.4,15.6,16,Amazon
Apple,MacBook Air,Apple,Mac OS,Apple M1,153.0,446.49,SSD,128,4.4,13.3,8,Amazon
Apple,MacBook Pro,Apple,Mac OS,Apple M3 Max,0.0,2999.0,SSD,2048,4.0,16.2,36,Amazon
MSI,Thin 15 B12VE-2023US,Intel,Windows 11 Home,Intel Core i7,822.0,899.99,SSD,512,4.3,15.6,16,Amazon
acer,Nitro V,Intel,Windows 11 Home,Intel Core i7,305.0,839.0,SSD,512,4.3,15.6,16,Amazon
HP,TPN-Q287,AMD,Windows 11 Pro,Ryzen 7,21.0,575.1,SSD,2048,4.4,15.6,16,Amazon
Lenovo,ThinkPad,Intel,Windows 11 Pro,Intel Core i5,14.0,1269.0,SSD,8192,4.0,16.0,40,Amazon
Lenovo,ThinkPad,Intel,Windows 11 Pro,Intel Core i5,22.0,989.0,SSD,4096,4.1,16.0,40,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,A13,1.0,119.99,EMMC,64,4.4,10.1,2,Amazon
TPV,AceBook,Intel,Windows 11 Pro,Core i5,13.0,309.99,SSD,512,4.5,15.6,16,Amazon
Zuleisy,VB16,Intel,Windows 11,Intel Mobile CPU,2.0,399.99,SSD,2048,4.5,16.0,16,Amazon
HP,HP Newest Flagship LAPTOP,Intel,Windows 11 Pro,Core i3,22.0,599.98,SSD,2048,4.4,15.6,40,Amazon
Lenovo,IdeaPad 3,Intel,Chrome OS,Celeron P4500,300.0,260.0,EMMC,64,4.6,15.6,8,Amazon
Lenovo,Lenovo V15 G2 ALC,AMD,Windows 11 Pro,Ryzen 5,422.0,489.0,SSD,512,4.4,15.6,16,Amazon
Lenovo,V15,Intel,Windows 11 Pro,Celeron,315.0,499.0,SSD,2048,4.4,15.6,16,Amazon
acer,Aspire Go 15,Intel,Windows 11 S,Intel Core i3,171.0,279.99,SSD,128,4.4,15.6,8,Amazon
MSI,Katana A17 AI B8VG-879US,AMD,Windows 11 Home,Ryzen 9,233.0,1699.99,SSD,4096,4.0,17.3,64,Amazon
HP,HP 14inch Laptop,Intel,Windows 11,Celeron,996.0,152.0,SSD,64,4.5,14.0,4,Amazon
HP,HP 14inch Laptop,Intel,Windows 11,Celeron,421.0,168.93,SSD,64,4.5,14.0,4,Amazon
acer,NH.QLLAA.002,AMD,Windows 11 Home,AMD Ryzen 7,379.0,957.47,SSD,1000,4.1,16.0,16,Amazon
acer,Predator Helios Neo 16 Gaming Laptop,Intel,Windows 11 Home,Intel Core i7,960.0,1109.0,SSD,512,4.0,16.0,16,Amazon
HP,TPN-Q221,Intel,Windows 11 Home,Celeron,480.0,217.99,SSD,64,4.5,14.0,16,Amazon
acer,Aspire,Intel,Windows 11 Pro,Core i5,0.0,579.99,SSD,4096,4.4,15.6,8,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,10.0,1296.71,SSD,4096,4.0,15.6,64,Amazon
HP,HP Essential,Intel,Windows 11 Home,Pentium N5000,0.0,379.0,SSD,2048,4.5,14.0,8,Amazon
acer,Swift Go 14,Intel,Windows 11 Home,Intel Core i7-1355U,283.0,599.99,SSD,512,4.4,14.0,16,Amazon
ASUS,ROG Strix G16,Intel,Windows 11 Home,Core i9,494.0,1871.64,SSD,2048,4.0,16.0,16,Amazon
Apple,Macbook Pro,Intel,Mac OS,Core i5-4278U,44.0,249.97,SSD,128,4.6,13.3,8,Amazon
Lenovo,IdeaPad,Intel,Windows 11 Home,Core i3,594.0,327.98,SSD,256,4.5,15.6,12,Amazon
Apple,MacBook Air,Apple,Mac OS,Unknown,968.0,472.0,SSD,256,4.4,13.3,8,Amazon
HP,Pavilion,Intel,Windows 11,Core i3,43.0,599.0,SSD,512,4.4,15.6,32,Amazon
HP,HP Chromebook,Intel,Chrome OS,Celeron N,428.0,148.9,EMMC,64,4.2,14.0,4,Amazon
ASUS,TUF Gaming A15,AMD,Windows 11 Home,Ryzen 5,630.0,761.13,SSD,512,4.3,15.6,8,Amazon
Apple,MacBook Pro,Intel,Mac OS 9,Unknown,869.0,499.0,SSD,512,4.4,16.0,16,Amazon
ASUS,ASUS 15.5 Laptop,Intel,Windows 11 Home,Celeron,48.0,171.99,SSD,128,4.5,15.5,4,Amazon
acer,"Acer 15"" Laptop",Intel,Chrome OS,Celeron N,174.0,151.99,EMMC,64,4.5,15.0,4,Amazon
HP,hp laptop,Intel,Windows 11 Home,Intel Core i3,693.0,411.74,SSD,2048,4.5,15.6,16,Amazon
HP,TPN-Q287,AMD,Windows 11 Pro,Ryzen 7,21.0,575.1,SSD,2048,4.4,15.6,16,Amazon
Molegar,2024 Latest Laptop Computer,Intel,Windows 11,Celeron N5095,5.0,499.99,SSD,2048,4.4,15.6,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,6.0,1349.0,SSD,4096,4.0,15.6,64,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,A13,1.0,119.99,EMMC,64,4.4,10.1,2,Amazon
