Laptop_Brand,Laptop_Name,Processor_Company,Processor,Operating_System,RAM,Storage,Storage_Type,Screen_Size,Rating,Number_of_Reviews,Price
HP,HP Victus,Intel,Core i5 12th Gen,Windows 11,16,512,SSD,12,4.4,38,"₹58,990"
MSI,MSI Thin 15,Intel,Core i5 12th Gen 12450H,Windows 11,16,512,SSD,12,4.3,34,"₹57,990"
HP,HP Laptop,AMD,Ryzen 3 Quad Core 5300U,Windows 11,8,512,SSD,11,4.3,482,"₹30,999"
Acer,Acer One,Intel,Core i3 11th Gen 1115G4,Windows 11,8,512,SSD,11,4.2,571,"₹26,990"
HP,HP,AMD,Ryzen 5 Hexa Core 5500U,Windows 11,16,512,SSD,16,4.3,268,"₹42,990"
Infinix,Infinix GT Book,Intel,Core i5 12th Gen 12450H,Windows 11,16,512,SSD,12,4.4,13,"₹64,990"
Acer,Acer Aspire 7,Intel,Core i5 12th Gen 12450H,Windows 11,16,512,SSD,12,4.1,214,"₹52,990"
ASUS,ASUS Vivobook 15,Intel,Core i3 12th Gen 1215U,Windows 11,8,512,SSD,12,4.2,360,"₹35,990"
Acer,Acer Aspire 3,Intel,Celeron Dual Core N4500,Windows 11,8,512,SSD,11,3.8,25,"₹20,990"
MSI,MSI Modern 14,AMD,Ryzen 5 Hexa Core 7530U,Windows 11,16,512,SSD,16,4.3,246,"₹36,990"
HP,HP Victus,Intel,Core i5 12th Gen 12450H,Windows 11,8,512,SSD,12,4.4,38,"₹54,990"
Acer,Acer Nitro V,Intel,Core i5 13th Gen 13420H,Windows 11,16,512,SSD,13,4.2,33,"₹64,990"
HP,HP 15s,AMD,Ryzen 3 Quad Core 5300U,Windows 11,8,512,SSD,64,4.2,405,"₹32,490"
Acer,Acer Aspire 7,Intel,Core i5 12th Gen 12450H,Windows 11,16,512,SSD,12,4.2,154,"₹54,990"
Infinix,Infinix Y1 Plus Neo Intel,Intel,Intel Celeron Quad Core 11th Gen JSL N5100,Windows 11,8,512,SSD,11,4,597,"₹22,990"
HP,HP,Intel,Core i3 12th Gen 1215U,Windows 11,8,512,SSD,12,4.2,499,"₹37,999"
HP,HP Victus 15,Intel,Core i5 13th Gen 13420H,Windows 11,16,512,SSD,13,4.3,18,"₹74,990"
ASUS,ASUS ROG Strix Scar 16,Intel,Core i9 14th Gen 14900HX,Windows 11,32,2,SSD,14,,,"₹3,39,990"
HP,HP Chromebook MediaTek MT8183 - (4 GB/32 GB EMMC Storage/Chrome OS) 11MK G9 EE,Chromebook,MediaTek MT8183,Chrome,4,32,EMMC,81,3.8,501,"₹11,990"
Lenovo,Lenovo,AMD,Ryzen 3 Quad Core 7330U,Windows 11,8,512,SSD,11,4.1,12,"₹33,990"
Acer,Acer Predator Neo,Intel,Core i7 13th Gen 13700HX,Windows 11,16,1,SSD,13,4.4,89,"₹1,04,990"
ASUS,ASUS TUF Gaming F15,Intel,Core i5 12th Gen 12500H,Windows 11,16,512,SSD,12,4.5,43,"₹75,990"
ASUS,ASUS TUF Gaming F17 - AI Powered Gaming,Intel,Core i5 11th Gen 11400H,Windows 11,16,512,SSD,11,4.3,467,"₹50,990"
SAMSUNG,SAMSUNG Galaxy Book4,Intel,Core i7 13th Gen 1355U,Windows 11,16,512,SSD,13,4.4,11,"₹76,990"
MSI,MSI Modern 15,AMD,Ryzen 5 Hexa Core 7530U,Windows 11,16,512,SSD,16,4.3,246,"₹45,990"
