Laptop_Brand,Laptop_Name,Processor_Company,Processor,Operating_System,RAM,Storage,Storage_Type,Screen_Size,Rating,Number_of_Reviews,Price
ASUS,Vivobook 15,Intel,Core i3 12th Gen 1215U,Windows 11,8,512,SSD,12.0,4.2,360.0,35990.0
ASUS,ROG Strix Scar 16,Intel,Core i9 14th Gen 14900HX,Windows 11,32,2048,SSD,14.0,0.0,0.0,339990.0
ASUS,TUF Gaming F15,Intel,Core i5 12th Gen 12500H,Windows 11,16,512,SSD,12.0,4.5,43.0,75990.0
ASUS,TUF Gaming F17,Intel,Core i5 11th Gen 11400H,Windows 11,16,512,SSD,11.0,4.3,467.0,50990.0
ASUS,Vivobook 15,Intel,Core i3 12th Gen 1215U,Windows 11,8,512,SSD,12.0,4.2,360.0,35990.0
ASUS,TUF Gaming F15,Intel,Core i5 12th Gen 12500H,Windows 11,16,512,SSD,12.0,4.5,43.0,75990.0
ASUS,TUF Gaming F17,Intel,Core i5 11th Gen 11400H,Windows 11,16,512,SSD,11.0,4.3,467.0,50990.0
ASUS,Vivobook 15,Intel,Core i3 12th Gen 1215U,Windows 11,8,512,SSD,12.0,4.2,360.0,35990.0
ASUS,ROG Strix Scar 16,Intel,Core i9 14th Gen 14900HX,Windows 11,32,2048,SSD,14.0,0.0,0.0,339990.0
ASUS,TUF Gaming F15,Intel,Core i5 12th Gen 12500H,Windows 11,16,512,SSD,12.0,4.5,43.0,75990.0
ASUS,TUF Gaming F17,Intel,Core i5 11th Gen 11400H,Windows 11,16,512,SSD,11.0,4.3,467.0,50990.0
ASUS,Vivobook Go 15 OLED,AMD,Ryzen 3 Quad Core 7320U,Windows 11,8,512,SSD,11.0,4.4,256.0,41990.0
ASUS,Vivobook 15,Intel,Core i3 12th Gen 1215U,Windows 11,8,512,SSD,12.0,4.2,360.0,35990.0
ASUS,TUF Gaming F17,Intel,Core i5 11th Gen 11400H,Windows 11,16,512,SSD,11.0,4.3,467.0,50990.0
ASUS,Vivobook 15,Intel,Core i3 12th Gen 1215U,Windows 11,8,512,SSD,12.0,4.2,360.0,35990.0
ASUS,ROG Strix Scar 16,Intel,Core i9 14th Gen 14900HX,Windows 11,32,2048,SSD,14.0,0.0,0.0,339990.0
ASUS,TUF Gaming F15,Intel,Core i5 12th Gen 12500H,Windows 11,16,512,SSD,12.0,4.5,43.0,75990.0
ASUS,TUF Gaming F17,Intel,Core i5 11th Gen 11400H,Windows 11,16,512,SSD,11.0,4.3,467.0,50990.0
ASUS,Vivobook Go 15 OLED,AMD,Ryzen 3 Quad Core 7320U,Windows 11,8,512,SSD,11.0,4.4,256.0,41990.0
ASUS,Vivobook 15,Intel,Core i3 12th Gen 1215U,Windows 11,8,512,SSD,12.0,4.2,360.0,35990.0
ASUS,TUF Gaming F17,Intel,Core i5 11th Gen 11400H,Windows 11,16,512,SSD,11.0,4.3,467.0,50990.0
ASUS,Vivobook 15,Intel,Core i3 12th Gen 1215U,Windows 11,8,512,SSD,12.0,4.2,360.0,35990.0
ASUS,TUF Gaming F15,Intel,Core i5 12th Gen 12500H,Windows 11,16,512,SSD,12.0,4.5,43.0,75990.0
ASUS,TUF Gaming F17,Intel,Core i5 11th Gen 11400H,Windows 11,16,512,SSD,11.0,4.3,467.0,50990.0
ASUS,Vivobook Go 15 OLED,AMD,Ryzen 3 Quad Core 7320U,Windows 11,8,512,SSD,11.0,4.4,256.0,41990.0
ASUS,Vivobook 15,Intel,Core i3 12th Gen 1215U,Windows 11,8,512,SSD,12.0,4.2,360.0,35990.0
ASUS,TUF Gaming F17,Intel,Core i5 11th Gen 11400H,Windows 11,16,512,SSD,11.0,4.3,467.0,50990.0
ASUS,Vivobook 15,Intel,Core i3 12th Gen 1215U,Windows 11,8,512,SSD,12.0,4.2,360.0,35990.0
ASUS,ROG Strix Scar 16,Intel,Core i9 14th Gen 14900HX,Windows 11,32,2048,SSD,14.0,0.0,0.0,339990.0
ASUS,TUF Gaming F15,Intel,Core i5 12th Gen 12500H,Windows 11,16,512,SSD,12.0,4.5,43.0,75990.0
ASUS,TUF Gaming F17,Intel,Core i5 11th Gen 11400H,Windows 11,16,512,SSD,11.0,4.3,467.0,50990.0
ASUS,Vivobook 15,Intel,Core i3 12th Gen 1215U,Windows 11,8,512,SSD,12.0,4.2,360.0,35990.0
ASUS,TUF Gaming F15,Intel,Core i5 12th Gen 12500H,Windows 11,16,512,SSD,12.0,4.5,43.0,75990.0
ASUS,TUF Gaming F17,Intel,Core i5 11th Gen 11400H,Windows 11,16,512,SSD,11.0,4.3,467.0,50990.0
ASUS,Vivobook 15,Intel,Core i3 12th Gen 1215U,Windows 11,8,512,SSD,12.0,4.2,360.0,35990.0
ASUS,TUF Gaming F15,Intel,Core i5 12th Gen 12500H,Windows 11,16,512,SSD,12.0,4.5,43.0,75990.0
ASUS,TUF Gaming F17,Intel,Core i5 11th Gen 11400H,Windows 11,16,512,SSD,11.0,4.3,467.0,50990.0
ASUS,Vivobook 15,Intel,Core i3 12th Gen 1215U,Windows 11,8,512,SSD,12.0,4.2,360.0,35990.0
